Project,Last_Activity,Contributors,Stargazers,Class_Diagram_File,No_of_Class_Diagrams,Lines_of_Code,UML_LOC_ratio_scaled
wyon/note/,2024-08-23 06:52:12+00:00,1,0,design_patterns/img/patterns_bridge.png,21,11330,1
wyon/note/,2024-08-23 06:52:12+00:00,1,0,design_patterns/img/patterns_mediator.png,21,11330,1
wyon/note/,2024-08-23 06:52:12+00:00,1,0,design_patterns/img/pattens_abstract_factory.png,21,11330,1
wyon/note/,2024-08-23 06:52:12+00:00,1,0,design_patterns/img/patterns_builder.png,21,11330,1
wyon/note/,2024-08-23 06:52:12+00:00,1,0,design_patterns/img/patterns_china_of_responsibility.png,21,11330,1
wyon/note/,2024-08-23 06:52:12+00:00,1,0,design_patterns/img/patterns_command.png,21,11330,1
wyon/note/,2024-08-23 06:52:12+00:00,1,0,design_patterns/img/patterns_composite.png,21,11330,1
wyon/note/,2024-08-23 06:52:12+00:00,1,0,design_patterns/img/patterns_decorator.png,21,11330,1
wyon/note/,2024-08-23 06:52:12+00:00,1,0,design_patterns/img/patterns_flyweight.png,21,11330,1
wyon/note/,2024-08-23 06:52:12+00:00,1,0,design_patterns/img/patterns_interpreter.png,21,11330,1
wyon/note/,2024-08-23 06:52:12+00:00,1,0,design_patterns/img/patterns_iterator.png,21,11330,1
wyon/note/,2024-08-23 06:52:12+00:00,1,0,design_patterns/img/patterns_factory_method.png,21,11330,1
wyon/note/,2024-08-23 06:52:12+00:00,1,0,design_patterns/img/patterns_memento.png,21,11330,1
wyon/note/,2024-08-23 06:52:12+00:00,1,0,design_patterns/img/patterns_prototype.png,21,11330,1
wyon/note/,2024-08-23 06:52:12+00:00,1,0,design_patterns/img/patterns_proxy.png,21,11330,1
wyon/note/,2024-08-23 06:52:12+00:00,1,0,design_patterns/img/patterns_singleton.png,21,11330,1
wyon/note/,2024-08-23 06:52:12+00:00,1,0,design_patterns/img/patterns_state.png,21,11330,1
wyon/note/,2024-08-23 06:52:12+00:00,1,0,design_patterns/img/patterns_strategy.png,21,11330,1
wyon/note/,2024-08-23 06:52:12+00:00,1,0,design_patterns/img/patterns_template_method.png,21,11330,1
wyon/note/,2024-08-23 06:52:12+00:00,1,0,design_patterns/img/patterns_observer.png,21,11330,1
wyon/note/,2024-08-23 06:52:12+00:00,1,0,design_patterns/img/patterns_visitor.png,21,11330,1
wangkuiwu/wangkuiwu.github.io/,2024-07-06 09:02:06+00:00,3,39,media/pic/design_patterns/pattern17_01.jpg,44,34570,0.6866932
wangkuiwu/wangkuiwu.github.io/,2024-07-06 09:02:06+00:00,3,39,media/pic/design_patterns/pattern13_05.jpg,44,34570,0.6866932
wangkuiwu/wangkuiwu.github.io/,2024-07-06 09:02:06+00:00,3,39,media/pic/design_patterns/pattern14_01.jpg,44,34570,0.6866932
wangkuiwu/wangkuiwu.github.io/,2024-07-06 09:02:06+00:00,3,39,media/pic/design_patterns/pattern16_01.jpg,44,34570,0.6866932
wangkuiwu/wangkuiwu.github.io/,2024-07-06 09:02:06+00:00,3,39,media/pic/java/threads/juc-col07-01.jpg,44,34570,0.6866932
wangkuiwu/wangkuiwu.github.io/,2024-07-06 09:02:06+00:00,3,39,media/pic/design_patterns/pattern17_02.jpg,44,34570,0.6866932
wangkuiwu/wangkuiwu.github.io/,2024-07-06 09:02:06+00:00,3,39,media/pic/design_patterns/pattern18_01.jpg,44,34570,0.6866932
wangkuiwu/wangkuiwu.github.io/,2024-07-06 09:02:06+00:00,3,39,media/pic/java/threads/juc-col06-01.jpg,44,34570,0.6866932
wangkuiwu/wangkuiwu.github.io/,2024-07-06 09:02:06+00:00,3,39,media/pic/design_patterns/pattern03_03.jpg,44,34570,0.6866932
wangkuiwu/wangkuiwu.github.io/,2024-07-06 09:02:06+00:00,3,39,media/pic/design_patterns/pattern13_04.jpg,44,34570,0.6866932
wangkuiwu/wangkuiwu.github.io/,2024-07-06 09:02:06+00:00,3,39,media/pic/design_patterns/pattern12_02.jpg,44,34570,0.6866932
wangkuiwu/wangkuiwu.github.io/,2024-07-06 09:02:06+00:00,3,39,media/pic/design_patterns/pattern12_01.jpg,44,34570,0.6866932
