Project,Last_Activity,Contributors,Stargazers,UML_Files_Length,Lines_of_Code,UML_LOC_ratio_scaled,UML_File
Stealth80/NickHollis/,2023-12-07 01:55:40+00:00,1.0,0.0,134,624377.0,0.030489398988242204,PictureCollage_CPlusPlus/cs215pgm5/fillerImages/113.jpg
Stealth80/NickHollis/,2023-12-07 01:55:40+00:00,1.0,0.0,134,624377.0,0.030489398988242204,PictureCollage_CPlusPlus/cs215pgm5/fillerImages/116.jpg
Stealth80/NickHollis/,2023-12-07 01:55:40+00:00,1.0,0.0,134,624377.0,0.030489398988242204,PictureCollage_CPlusPlus/cs215pgm5/fillerImages/118.jpg
Stealth80/NickHollis/,2023-12-07 01:55:40+00:00,1.0,0.0,134,624377.0,0.030489398988242204,PictureCollage_CPlusPlus/cs215pgm5/fillerImages/12.jpg
Stealth80/NickHollis/,2023-12-07 01:55:40+00:00,1.0,0.0,134,624377.0,0.030489398988242204,PictureCollage_CPlusPlus/cs215pgm5/fillerImages/121.jpg
Stealth80/NickHollis/,2023-12-07 01:55:40+00:00,1.0,0.0,134,624377.0,0.030489398988242204,PictureCollage_CPlusPlus/cs215pgm5/fillerImages/127.jpg
Stealth80/NickHollis/,2023-12-07 01:55:40+00:00,1.0,0.0,134,624377.0,0.030489398988242204,PictureCollage_CPlusPlus/cs215pgm5/fillerImages/129.jpg
Stealth80/NickHollis/,2023-12-07 01:55:40+00:00,1.0,0.0,134,624377.0,0.030489398988242204,PictureCollage_CPlusPlus/cs215pgm5/fillerImages/130.jpg
Stealth80/NickHollis/,2023-12-07 01:55:40+00:00,1.0,0.0,134,624377.0,0.030489398988242204,PictureCollage_CPlusPlus/cs215pgm5/fillerImages/133.jpg
Stealth80/NickHollis/,2023-12-07 01:55:40+00:00,1.0,0.0,134,624377.0,0.030489398988242204,PictureCollage_CPlusPlus/cs215pgm5/fillerImages/136.jpg
Stealth80/NickHollis/,2023-12-07 01:55:40+00:00,1.0,0.0,134,624377.0,0.030489398988242204,PictureCollage_CPlusPlus/cs215pgm5/fillerImages/138.jpg
Stealth80/NickHollis/,2023-12-07 01:55:40+00:00,1.0,0.0,134,624377.0,0.030489398988242204,PictureCollage_CPlusPlus/cs215pgm5/fillerImages/139.jpg
Stealth80/NickHollis/,2023-12-07 01:55:40+00:00,1.0,0.0,134,624377.0,0.030489398988242204,PictureCollage_CPlusPlus/cs215pgm5/fillerImages/14.jpg
Stealth80/NickHollis/,2023-12-07 01:55:40+00:00,1.0,0.0,134,624377.0,0.030489398988242204,PictureCollage_CPlusPlus/cs215pgm5/fillerImages/141.jpg
Stealth80/NickHollis/,2023-12-07 01:55:40+00:00,1.0,0.0,134,624377.0,0.030489398988242204,PictureCollage_CPlusPlus/cs215pgm5/fillerImages/142.jpg
Stealth80/NickHollis/,2023-12-07 01:55:40+00:00,1.0,0.0,134,624377.0,0.030489398988242204,PictureCollage_CPlusPlus/cs215pgm5/fillerImages/143.jpg
