Repo_Name,GitHub URL,Total number of UML files,No. of .uml,No. of .xmi,No. of .svg,No. of .png,No. of .jpeg,No. of .bmp,No. of .jpg,No. of .gif
5730529721-VS/ngongo_Project/,http://github.com/5730529721-VS/ngongo_Project/,1,0,0,0,1,0,0,0,0
5730541121-WW/Project-Slaughter/,http://github.com/5730541121-WW/Project-Slaughter/,1,0,0,0,1,0,0,0,0
5731047721-TK/ProgMethProject/,http://github.com/5731047721-TK/ProgMethProject/,1,0,0,0,1,0,0,0,0
5731076921-PC/BJ_Project/,http://github.com/5731076921-PC/BJ_Project/,4,0,0,0,0,0,0,4,0
5731078121-PT/ProgMeth_Project_BF/,http://github.com/5731078121-PT/ProgMeth_Project_BF/,1,0,0,0,1,0,0,0,0
5731078121-PT/Project-New-New-/,http://github.com/5731078121-PT/Project-New-New-/,1,0,0,0,1,0,0,0,0
5731109021-ST/Progmeth-Project/,http://github.com/5731109021-ST/Progmeth-Project/,4,0,0,0,4,0,0,0,0
59000/Projet-VirtualWar/,http://github.com/59000/Projet-VirtualWar/,1,0,0,0,1,0,0,0,0
593141477/FocusTracking/,http://github.com/593141477/FocusTracking/,1,0,0,0,1,0,0,0,0
5AI-2015-TPI-pollini/progetto-java-xml-andreaantonioni/,http://github.com/5AI-2015-TPI-pollini/progetto-java-xml-andreaantonioni/,2,0,0,0,0,0,0,2,0
5Tsrl/GTFSManager/,http://github.com/5Tsrl/GTFSManager/,2,0,0,0,0,0,0,2,0
5zzang/Personal_Spring3.1_ExtJS4/,http://github.com/5zzang/Personal_Spring3.1_ExtJS4/,1,0,0,0,1,0,0,0,0
64122017/U-and-D/,http://github.com/64122017/U-and-D/,1,0,0,0,1,0,0,0,0
64kbytes/coldwar/,http://github.com/64kbytes/coldwar/,160,0,0,0,0,0,0,0,160
64kbytes/flask_angular_boilerplate/,http://github.com/64kbytes/flask_angular_boilerplate/,5,0,0,0,0,0,0,0,5
66095021/deepsecurity/,http://github.com/66095021/deepsecurity/,1,0,0,0,1,0,0,0,0
7178301/Repo/,http://github.com/7178301/Repo/,1,1,0,0,0,0,0,0,0
73153/COCOACONTROLS-BEST-RATINGS-DEMO-ALL-MIXTURE_____BEST-OF-ALL/,http://github.com/73153/COCOACONTROLS-BEST-RATINGS-DEMO-ALL-MIXTURE_____BEST-OF-ALL/,2,0,0,0,0,2,0,0,0
7510FIUBAGrupo14/Tp2-Test/,http://github.com/7510FIUBAGrupo14/Tp2-Test/,2,0,0,0,0,0,2,0,0
7BF794B0/GFZ/,http://github.com/7BF794B0/GFZ/,1,0,0,0,1,0,0,0,0
7kings/TicTacToe/,http://github.com/7kings/TicTacToe/,1,0,0,0,0,0,0,1,0
7Pros/META/,http://github.com/7Pros/META/,1,0,0,1,0,0,0,0,0
7thsanctum/SoftwareEng/,http://github.com/7thsanctum/SoftwareEng/,1,1,0,0,0,0,0,0,0
7ung/NMGAME/,http://github.com/7ung/NMGAME/,5,0,0,0,5,0,0,0,0
85pando/Zusammenfassungen/,http://github.com/85pando/Zusammenfassungen/,1,0,0,0,1,0,0,0,0
88877/Distributed-System/,http://github.com/88877/Distributed-System/,9,0,0,0,9,0,0,0,0
8thavenger/MagicTheGatheringCollection/,http://github.com/8thavenger/MagicTheGatheringCollection/,10,10,0,0,0,0,0,0,0
90am/Map-Construction/,http://github.com/90am/Map-Construction/,1,1,0,0,0,0,0,0,0
91kerezi/JavaChatAgain/,http://github.com/91kerezi/JavaChatAgain/,1,0,1,0,0,0,0,0,0
91kerezi/simpleApp/,http://github.com/91kerezi/simpleApp/,3,0,3,0,0,0,0,0,0
929528/talon/,http://github.com/929528/talon/,1,0,1,0,0,0,0,0,0
9and3r/livetracking/,http://github.com/9and3r/livetracking/,2,0,0,0,2,0,0,0,0
a-a-hofmann/softEng/,http://github.com/a-a-hofmann/softEng/,1,0,0,0,1,0,0,0,0
a-bird/LLHibernet/,http://github.com/a-bird/LLHibernet/,2,1,0,0,0,0,0,1,0
a-cordier/design-pattern-adapter/,http://github.com/a-cordier/design-pattern-adapter/,1,0,0,0,1,0,0,0,0
a-cordier/design-pattern-bridge/,http://github.com/a-cordier/design-pattern-bridge/,1,0,0,0,1,0,0,0,0
a-cordier/design-pattern-composite-interpreter/,http://github.com/a-cordier/design-pattern-composite-interpreter/,1,0,0,0,1,0,0,0,0
a-cordier/design-pattern-composite-visitor/,http://github.com/a-cordier/design-pattern-composite-visitor/,1,0,0,0,1,0,0,0,0
a-cordier/design-pattern-mediator/,http://github.com/a-cordier/design-pattern-mediator/,1,0,0,0,1,0,0,0,0
a-cordier/design-pattern-memento/,http://github.com/a-cordier/design-pattern-memento/,1,0,0,0,1,0,0,0,0
a-cordier/design-pattern-observer-api/,http://github.com/a-cordier/design-pattern-observer-api/,1,0,0,0,1,0,0,0,0
a-cordier/design-pattern-observer/,http://github.com/a-cordier/design-pattern-observer/,1,0,0,0,1,0,0,0,0
a-cordier/design-pattern-proxy/,http://github.com/a-cordier/design-pattern-proxy/,1,0,0,0,1,0,0,0,0
a-jahanshahlo/Feedor/,http://github.com/a-jahanshahlo/Feedor/,38,38,0,0,0,0,0,0,0
a-krebs/finances/,http://github.com/a-krebs/finances/,1,0,0,0,0,0,0,1,0
A-meerdervan/GhostProposal/,http://github.com/A-meerdervan/GhostProposal/,2,0,0,0,1,0,0,1,0
a-rankin/arankin-expenses/,http://github.com/a-rankin/arankin-expenses/,1,0,0,0,1,0,0,0,0
A-Sandwich/CSCI-487/,http://github.com/A-Sandwich/CSCI-487/,1,0,0,0,0,0,0,1,0
A-Team-CS320/ER-Tutoring-System/,http://github.com/A-Team-CS320/ER-Tutoring-System/,2,0,0,0,0,1,0,1,0
A-V-E-N-G-E-R-S/ATM/,http://github.com/A-V-E-N-G-E-R-S/ATM/,12,12,0,0,0,0,0,0,0
a10k/Questionnaire/,http://github.com/a10k/Questionnaire/,1,0,0,1,0,0,0,0,0
a145213/ASIC_DesignLab/,http://github.com/a145213/ASIC_DesignLab/,1,0,0,0,0,0,0,1,0
a150b464/Collections_Practice/,http://github.com/a150b464/Collections_Practice/,1,0,0,0,1,0,0,0,0
a1arias/Fashion-Helper/,http://github.com/a1arias/Fashion-Helper/,1,0,0,0,0,0,0,1,0
A2D-MY-AOSP/android_frameworks_base/,http://github.com/A2D-MY-AOSP/android_frameworks_base/,2,0,0,0,0,0,0,0,2
a2e/api2ecore/,http://github.com/a2e/api2ecore/,1,1,0,0,0,0,0,0,0
a526757124/OTGFramework/,http://github.com/a526757124/OTGFramework/,2,2,0,0,0,0,0,0,0
a544jh/KanaMemoryGame/,http://github.com/a544jh/KanaMemoryGame/,2,0,0,0,2,0,0,0,0
a7medfahmy94/SE_Project/,http://github.com/a7medfahmy94/SE_Project/,19,0,1,0,15,0,0,3,0
a9595/HellManagerWEB/,http://github.com/a9595/HellManagerWEB/,1,1,0,0,0,0,0,0,0
aa8391093/LixuecongOnlineRepository/,http://github.com/aa8391093/LixuecongOnlineRepository/,4,4,0,0,0,0,0,0,0
aaad/SOSWS15/,http://github.com/aaad/SOSWS15/,1,1,0,0,0,0,0,0,0
aaaking/fuwu-emacs-projects/,http://github.com/aaaking/fuwu-emacs-projects/,2,0,0,0,2,0,0,0,0
aaarmani/sihts/,http://github.com/aaarmani/sihts/,1,0,0,0,1,0,0,0,0
aabbcc1241/duty-timetable/,http://github.com/aabbcc1241/duty-timetable/,4,0,1,0,0,0,0,0,3
aabdelaziz/FWDE/,http://github.com/aabdelaziz/FWDE/,11,10,1,0,0,0,0,0,0
aaclark/droid-counter/,http://github.com/aaclark/droid-counter/,1,0,0,0,1,0,0,0,0
AACleiton/EscolaDeTi2015.grupo06/,http://github.com/AACleiton/EscolaDeTi2015.grupo06/,4,0,0,0,4,0,0,0,0
aagp/SSCAutoFrio/,http://github.com/aagp/SSCAutoFrio/,1,1,0,0,0,0,0,0,0
aagrawal20/hw03/,http://github.com/aagrawal20/hw03/,2,0,0,0,0,0,0,2,0
aaguil10/ElectricVehicleMicroController/,http://github.com/aaguil10/ElectricVehicleMicroController/,1,0,0,0,1,0,0,0,0
aahamilt/UNA-CS-315--Spring-2014/,http://github.com/aahamilt/UNA-CS-315--Spring-2014/,1,0,0,0,0,0,0,1,0
AAiache/ProjetStructurationArchitecture/,http://github.com/AAiache/ProjetStructurationArchitecture/,7,0,0,0,7,0,0,0,0
aakashsharan/inheritance-polymorphism-java/,http://github.com/aakashsharan/inheritance-polymorphism-java/,1,0,0,0,1,0,0,0,0
aalm/obsd-src/,http://github.com/aalm/obsd-src/,6,0,0,0,6,0,0,0,0
aalvlopez/ProyectoDIA/,http://github.com/aalvlopez/ProyectoDIA/,5,0,0,0,2,0,0,3,0
aaly-tgm/rtn/,http://github.com/aaly-tgm/rtn/,1,0,0,0,1,0,0,0,0
aamado/Caravela/,http://github.com/aamado/Caravela/,1,0,0,0,0,0,0,1,0
aamalik/Mars-Rover/,http://github.com/aamalik/Mars-Rover/,1,0,0,0,1,0,0,0,0
aaps/stardog/,http://github.com/aaps/stardog/,224,0,0,0,0,0,0,0,224
Aapzu/super-duper-pentago/,http://github.com/Aapzu/super-duper-pentago/,5,0,0,0,5,0,0,0,0
Aardevarken/AnimalRampage/,http://github.com/Aardevarken/AnimalRampage/,4,4,0,0,0,0,0,0,0
aarestad/gradschool-stuff/,http://github.com/aarestad/gradschool-stuff/,1,0,0,0,1,0,0,0,0
aarfe/Tesi/,http://github.com/aarfe/Tesi/,1,1,0,0,0,0,0,0,0
aarkerio/KarameloLMS/,http://github.com/aarkerio/KarameloLMS/,1,0,1,0,0,0,0,0,0
aarmikgray/HangLAN/,http://github.com/aarmikgray/HangLAN/,1,0,0,0,0,0,0,1,0
aarondunn/bugkick/,http://github.com/aarondunn/bugkick/,1,0,1,0,0,0,0,0,0
aaronhourie/Automatic-ATM-Teller-Machine-Machine-Simulator-2015/,http://github.com/aaronhourie/Automatic-ATM-Teller-Machine-Machine-Simulator-2015/,1,0,0,0,1,0,0,0,0
aaronwsmith12/Portfolio/,http://github.com/aaronwsmith12/Portfolio/,1,0,0,0,1,0,0,0,0
aashir789/WebCrawler/,http://github.com/aashir789/WebCrawler/,1,0,0,0,0,0,0,1,0
aayvazyan-tgm/osiris/,http://github.com/aayvazyan-tgm/osiris/,1,0,0,0,0,0,0,1,0
aayvazyan-tgm/RouterManagementProject_RockTheNet/,http://github.com/aayvazyan-tgm/RouterManagementProject_RockTheNet/,1,0,0,0,1,0,0,0,0
aazizorg/twitterwalker/,http://github.com/aazizorg/twitterwalker/,1,0,0,0,1,0,0,0,0
abalderas/slr-assess/,http://github.com/abalderas/slr-assess/,1,0,0,0,1,0,0,0,0
abaldizon/EndLessGame/,http://github.com/abaldizon/EndLessGame/,1,1,0,0,0,0,0,0,0
abaldizon/TenisDesign/,http://github.com/abaldizon/TenisDesign/,1,1,0,0,0,0,0,0,0
AbanoubAmgad/SpellingChecker/,http://github.com/AbanoubAmgad/SpellingChecker/,1,0,0,0,1,0,0,0,0
aBaranowska/hibernateApp/,http://github.com/aBaranowska/hibernateApp/,1,1,0,0,0,0,0,0,0
abarbour/psd/,http://github.com/abarbour/psd/,1,0,0,0,1,0,0,0,0
abaruchi/DataTransfer/,http://github.com/abaruchi/DataTransfer/,1,0,0,0,1,0,0,0,0
abaumgarner/CSCD349-UML/,http://github.com/abaumgarner/CSCD349-UML/,1,0,0,0,1,0,0,0,0
abaur/TinfoilP2P/,http://github.com/abaur/TinfoilP2P/,1,0,1,0,0,0,0,0,0
abb-iss/SrcML.NET/,http://github.com/abb-iss/SrcML.NET/,2,2,0,0,0,0,0,0,0
abbasdgr8/vending-machine/,http://github.com/abbasdgr8/vending-machine/,1,0,0,0,0,0,0,1,0
abbeboa/javaProject/,http://github.com/abbeboa/javaProject/,5,5,0,0,0,0,0,0,0
Abdallah-Sobehy/15puzzle/,http://github.com/Abdallah-Sobehy/15puzzle/,2,0,0,0,0,0,0,2,0
abdel-elborey/onlinecourses-task/,http://github.com/abdel-elborey/onlinecourses-task/,1,0,0,0,0,0,1,0,0
abdelrady/MyCodeSamples/,http://github.com/abdelrady/MyCodeSamples/,1,0,0,0,0,0,0,0,1
AbdElRahmanEzzat/Project/,http://github.com/AbdElRahmanEzzat/Project/,1,0,0,0,0,0,0,1,0
Abdelsattar/FCI-SWII-Project/,http://github.com/Abdelsattar/FCI-SWII-Project/,1,0,0,0,1,0,0,0,0
Abdielja/AsiDriver/,http://github.com/Abdielja/AsiDriver/,1,1,0,0,0,0,0,0,0
Abdietou/Agora2015/,http://github.com/Abdietou/Agora2015/,1,1,0,0,0,0,0,0,0
abdoofathy95/CA/,http://github.com/abdoofathy95/CA/,1,0,0,0,1,0,0,0,0
abdulla-alali/CRE-NS3/,http://github.com/abdulla-alali/CRE-NS3/,1,0,0,0,1,0,0,0,0
abdurrohimfajar5/inginreposit/,http://github.com/abdurrohimfajar5/inginreposit/,9,4,0,0,0,0,0,5,0
abdush/BPMN2StateChart/,http://github.com/abdush/BPMN2StateChart/,24,23,0,0,1,0,0,0,0
abecerra/triqui2/,http://github.com/abecerra/triqui2/,1,0,1,0,0,0,0,0,0
abego/treelayout/,http://github.com/abego/treelayout/,1,0,0,0,1,0,0,0,0
abel533/spring-framework-reference/,http://github.com/abel533/spring-framework-reference/,3,0,0,0,0,0,0,0,3
AbelianGroupInc/LmInterpreter/,http://github.com/AbelianGroupInc/LmInterpreter/,1,1,0,0,0,0,0,0,0
abelmokadem/abm280.smartarch/,http://github.com/abelmokadem/abm280.smartarch/,2,2,0,0,0,0,0,0,0
abelosorio/unicen/,http://github.com/abelosorio/unicen/,1,0,0,0,1,0,0,0,0
AbeOmor/WebHandyTool/,http://github.com/AbeOmor/WebHandyTool/,3,0,0,0,3,0,0,0,0
aber-cs22120-group-15/docs/,http://github.com/aber-cs22120-group-15/docs/,1,0,0,0,1,0,0,0,0
abersailbot/dewi-hardware/,http://github.com/abersailbot/dewi-hardware/,1,0,0,0,0,0,0,1,0
abes140377/xmdlab/,http://github.com/abes140377/xmdlab/,2,0,0,0,2,0,0,0,0
abgil/Martorela-Mobile/,http://github.com/abgil/Martorela-Mobile/,1,0,0,0,0,0,0,0,1
abhagupta/codepath-uber-clone/,http://github.com/abhagupta/codepath-uber-clone/,1,0,0,0,1,0,0,0,0
AbhaySingh/pjproject/,http://github.com/AbhaySingh/pjproject/,1,0,0,0,1,0,0,0,0
abhigarai/craig/,http://github.com/abhigarai/craig/,2,0,0,0,2,0,0,0,0
abhigoutps://raw.githubusercontent.com/,http://github.com/abhigoutps://raw.githubusercontent.com/,1,0,0,0,0,0,0,0,1
abhij1992/BLDR/,http://github.com/abhij1992/BLDR/,1,0,0,0,1,0,0,0,0
abhijitborude/roamy-services/,http://github.com/abhijitborude/roamy-services/,1,0,0,0,1,0,0,0,0
abhimanbhau/ScrapEra/,http://github.com/abhimanbhau/ScrapEra/,11,11,0,0,0,0,0,0,0
abhimanyu-siwach/onlyVanet/,http://github.com/abhimanyu-siwach/onlyVanet/,4,0,0,0,4,0,0,0,0
abhimanyu-siwach/onlyVanetRel/,http://github.com/abhimanyu-siwach/onlyVanetRel/,4,0,0,0,4,0,0,0,0
abhinav0419/Spring-and-Hibernate-Projects/,http://github.com/abhinav0419/Spring-and-Hibernate-Projects/,2,0,0,0,0,0,0,0,2
abhinava/indic-keyboards/,http://github.com/abhinava/indic-keyboards/,1,0,0,0,0,0,0,1,0
abhinay100/feng_app/,http://github.com/abhinay100/feng_app/,1,0,0,0,1,0,0,0,0
abhinay100/fengoffice_app/,http://github.com/abhinay100/fengoffice_app/,1,0,0,0,1,0,0,0,0
abhisek-agrawal/UCMS-project/,http://github.com/abhisek-agrawal/UCMS-project/,2,0,0,0,0,0,0,2,0
abhishekmurthy/Calligra/,http://github.com/abhishekmurthy/Calligra/,2,0,1,0,1,0,0,0,0
abhishekrajbgs/railway-ticket/,http://github.com/abhishekrajbgs/railway-ticket/,3,0,0,0,2,0,0,1,0
AbhishekSen/tnp/,http://github.com/AbhishekSen/tnp/,6,0,0,0,0,0,0,0,6
abhishekshm007/eggWallet_server/,http://github.com/abhishekshm007/eggWallet_server/,3,0,0,0,3,0,0,0,0
ABI-Software/ICMA/,http://github.com/ABI-Software/ICMA/,4,0,0,0,4,0,0,0,0
abiaco/Pacman-3D/,http://github.com/abiaco/Pacman-3D/,1,0,0,0,1,0,0,0,0
AbinerCunha/Navio/,http://github.com/AbinerCunha/Navio/,1,0,0,0,1,0,0,0,0
ABjelotomic/ART/,http://github.com/ABjelotomic/ART/,1,0,0,0,0,0,0,1,0
abjugard/DAT255-EpiClock/,http://github.com/abjugard/DAT255-EpiClock/,1,0,0,0,1,0,0,0,0
ablochha/Resume/,http://github.com/ablochha/Resume/,3,0,0,0,3,0,0,0,0
ablondin/discrete-geometry-in-sage/,http://github.com/ablondin/discrete-geometry-in-sage/,1,0,0,0,1,0,0,0,0
aBMania/demineur/,http://github.com/aBMania/demineur/,1,1,0,0,0,0,0,0,0
abookin/SmartFox/,http://github.com/abookin/SmartFox/,1,1,0,0,0,0,0,0,0
abordan/3AHIT/,http://github.com/abordan/3AHIT/,1,0,0,0,0,0,0,1,0
aboretum/LabTutorials1/,http://github.com/aboretum/LabTutorials1/,1,0,0,0,0,0,0,1,0
aboretum/Researcher-s-Journal/,http://github.com/aboretum/Researcher-s-Journal/,1,0,0,0,0,0,0,1,0
aBothe/qabel-core/,http://github.com/aBothe/qabel-core/,1,1,0,0,0,0,0,0,0
abourg28/YAR/,http://github.com/abourg28/YAR/,2,0,0,0,2,0,0,0,0
