Repo_Name,GitHub URL,Total number of UML files,No. of .uml,No. of .xmi,No. of .svg,No. of .png,No. of .jpeg,No. of .bmp,No. of .jpg,No. of .gif
0-complexity/ovcdoc_public/,http://github.com/0-complexity/ovcdoc_public/,1,0,0,0,1,0,0,0,0
0003088/libelektra-qt-gui-test/,http://github.com/0003088/libelektra-qt-gui-test/,1,0,1,0,0,0,0,0,0
00s/deadman/,http://github.com/00s/deadman/,1,0,0,0,1,0,0,0,0
01db0y/ImageUploader/,http://github.com/01db0y/ImageUploader/,1,0,0,0,1,0,0,0,0
01db0y/ShareIt/,http://github.com/01db0y/ShareIt/,1,0,0,0,1,0,0,0,0
01org/vmf/,http://github.com/01org/vmf/,1,1,0,0,0,0,0,0,0
0416354917/COMP6442/,http://github.com/0416354917/COMP6442/,1,0,0,0,1,0,0,0,0
0532/netty-demo/,http://github.com/0532/netty-demo/,1,1,0,0,0,0,0,0,0
05K4R/OOP-Projekt-grupp-16/,http://github.com/05K4R/OOP-Projekt-grupp-16/,1,0,0,0,1,0,0,0,0
080419android/scheduler/,http://github.com/080419android/scheduler/,1,0,0,0,1,0,0,0,0
0877624/0877624-0896919-0894785/,http://github.com/0877624/0877624-0896919-0894785/,1,1,0,0,0,0,0,0,0
09421/Track-A-Bus/,http://github.com/09421/Track-A-Bus/,12,0,0,0,3,0,0,9,0
0x000FF4/abstrDesing/,http://github.com/0x000FF4/abstrDesing/,1,0,1,0,0,0,0,0,0
1-aarsproeve/1-aarsproeve/,http://github.com/1-aarsproeve/1-aarsproeve/,25,25,0,0,0,0,0,0,0
100Continue/Gulu--web-server-test-tools/,http://github.com/100Continue/Gulu--web-server-test-tools/,6,0,0,0,0,0,0,6,0
101companies/101repo/,http://github.com/101companies/101repo/,1,0,1,0,0,0,0,0,0
10moreira/Quantum-System/,http://github.com/10moreira/Quantum-System/,1,0,0,0,1,0,0,0,0
1127050148/SitiNurpadilah_1127050148_IF5G_TugasMandiri_VendingMachine/,http://github.com/1127050148/SitiNurpadilah_1127050148_IF5G_TugasMandiri_VendingMachine/,3,3,0,0,0,0,0,0,0
1130838/ESINF_PartOne/,http://github.com/1130838/ESINF_PartOne/,3,0,0,0,0,0,0,3,0
1130838/ESINF_PartThree/,http://github.com/1130838/ESINF_PartThree/,9,0,0,0,2,0,0,7,0
1130838/ESINF_PartTwo/,http://github.com/1130838/ESINF_PartTwo/,3,0,0,0,0,0,0,3,0
116518135/Wxservice/,http://github.com/116518135/Wxservice/,1,0,0,0,1,0,0,0,0
11TCLC-DA-CNPM/doan-cnpm-quanly-ban-dien-thoai-pro11tclc/,http://github.com/11TCLC-DA-CNPM/doan-cnpm-quanly-ban-dien-thoai-pro11tclc/,107,13,0,0,49,0,0,45,0
12010994/TAA-TP3/,http://github.com/12010994/TAA-TP3/,1,1,0,0,0,0,0,0,0
12520054/etn-contra-game/,http://github.com/12520054/etn-contra-game/,2,1,0,0,1,0,0,0,0
131213web/ProjectTask/,http://github.com/131213web/ProjectTask/,5,0,0,0,5,0,0,0,0
1404Team4/HealthHoney/,http://github.com/1404Team4/HealthHoney/,4,0,0,0,4,0,0,0,0
188383/mydjango/,http://github.com/188383/mydjango/,1,0,0,1,0,0,0,0,0
188383/project/,http://github.com/188383/project/,2,0,1,0,0,1,0,0,0
1987cr/Duckface/,http://github.com/1987cr/Duckface/,1,0,0,0,1,0,0,0,0
1989gaurav/InternetBankingSystem/,http://github.com/1989gaurav/InternetBankingSystem/,7,3,0,0,0,0,0,1,3
19majkel94/Projekt/,http://github.com/19majkel94/Projekt/,1,0,0,1,0,0,0,0,0
1berg/SimMA/,http://github.com/1berg/SimMA/,8,1,0,0,7,0,0,0,0
1dv607-Workshops-OOAD/Workshop-2-XML-and-objects/,http://github.com/1dv607-Workshops-OOAD/Workshop-2-XML-and-objects/,3,0,0,0,0,0,0,3,0
1dv607-Workshops-OOAD/Workshop2-XML/,http://github.com/1dv607-Workshops-OOAD/Workshop2-XML/,2,0,0,0,0,0,0,2,0
1M0reBug/spectacle-hibernate/,http://github.com/1M0reBug/spectacle-hibernate/,1,1,0,0,0,0,0,0,0
1ngrid/INF1000/,http://github.com/1ngrid/INF1000/,3,0,0,0,0,0,0,3,0
1string2boolthem/ProjectHub/,http://github.com/1string2boolthem/ProjectHub/,2,0,0,0,0,0,0,2,0
2-1-48-Git/2-1-48/,http://github.com/2-1-48-Git/2-1-48/,2,0,0,0,2,0,0,0,0
200413150/IPC2J15/,http://github.com/200413150/IPC2J15/,1,0,0,0,1,0,0,0,0
20111375/-20111375/,http://github.com/20111375/-20111375/,3,3,0,0,0,0,0,0,0
201114430/Practica1_201114430/,http://github.com/201114430/Practica1_201114430/,11,11,0,0,0,0,0,0,0
201114430/ProyectoFinal/,http://github.com/201114430/ProyectoFinal/,1,1,0,0,0,0,0,0,0
201114430/Repositorio/,http://github.com/201114430/Repositorio/,19,19,0,0,0,0,0,0,0
201114771AlterLex/200915391_Eugenio-fase3_BancoChapin/,http://github.com/201114771AlterLex/200915391_Eugenio-fase3_BancoChapin/,1,1,0,0,0,0,0,0,0
2016LQ/odoo8dev/,http://github.com/2016LQ/odoo8dev/,1,0,0,0,1,0,0,0,0
20zinnm/AutpShear/,http://github.com/20zinnm/AutpShear/,1,1,0,0,0,0,0,0,0
211tbc/synthesis/,http://github.com/211tbc/synthesis/,2,0,0,0,2,0,0,0,0
21268879/University/,http://github.com/21268879/University/,1,1,0,0,0,0,0,0,0
2202Programming/bilious-spork/,http://github.com/2202Programming/bilious-spork/,4,4,0,0,0,0,0,0,0
267492/moje_rep/,http://github.com/267492/moje_rep/,15,0,0,0,0,0,0,15,0
267497/projektNaZal/,http://github.com/267497/projektNaZal/,8,0,0,0,0,0,0,8,0
2ger/gtd/,http://github.com/2ger/gtd/,1,0,0,0,1,0,0,0,0
2nal2/LocantionHandler/,http://github.com/2nal2/LocantionHandler/,2,0,0,0,2,0,0,0,0
2ndchance/1400/,http://github.com/2ndchance/1400/,1,1,0,0,0,0,0,0,0
2scooter/SeniorDesign/,http://github.com/2scooter/SeniorDesign/,2,0,0,0,2,0,0,0,0
32pounds/LaTexDocumenation/,http://github.com/32pounds/LaTexDocumenation/,13,11,0,0,2,0,0,0,0
343-Epoch/epoch-trackr/,http://github.com/343-Epoch/epoch-trackr/,1,0,0,0,1,0,0,0,0
365day/365day.github.io/,http://github.com/365day/365day.github.io/,1,0,0,0,0,0,0,1,0
387358/taskPlan/,http://github.com/387358/taskPlan/,1,1,0,0,0,0,0,0,0
3873757/Software-Engineering/,http://github.com/3873757/Software-Engineering/,8,0,0,0,8,0,0,0,0
3a-arthurkevin/3ADJV_TORRENTE_WATHTHUHEWA_Hinder_-_Flee/,http://github.com/3a-arthurkevin/3ADJV_TORRENTE_WATHTHUHEWA_Hinder_-_Flee/,9,7,0,0,0,0,0,2,0
3dfxmadscientist/odoo-infrastructure/,http://github.com/3dfxmadscientist/odoo-infrastructure/,1,1,0,0,0,0,0,0,0
3DrunkGuys/TimeSplitter/,http://github.com/3DrunkGuys/TimeSplitter/,1,0,0,0,0,0,0,1,0
3electrons/AnalogWidgets/,http://github.com/3electrons/AnalogWidgets/,1,0,1,0,0,0,0,0,0
3piX/Cm3_task2_3/,http://github.com/3piX/Cm3_task2_3/,7,0,0,2,5,0,0,0,0
3piX/Cm3_Task4/,http://github.com/3piX/Cm3_Task4/,2,0,0,0,2,0,0,0,0
3rdstage/exercise/,http://github.com/3rdstage/exercise/,6,5,0,1,0,0,0,0,0
3v1n0/jshopinvoice/,http://github.com/3v1n0/jshopinvoice/,2,1,0,0,1,0,0,0,0
401ChemistryGenealogy/ChemistryGenealogy/,http://github.com/401ChemistryGenealogy/ChemistryGenealogy/,4,0,0,0,0,1,0,3,0
4201715125/S4201715125V1/,http://github.com/4201715125/S4201715125V1/,1,0,0,0,1,0,0,0,0
42IN11EWd/RAS-app/,http://github.com/42IN11EWd/RAS-app/,21,21,0,0,0,0,0,0,0
42ua/mazko.github.io-mirror/,http://github.com/42ua/mazko.github.io-mirror/,2,0,0,0,2,0,0,0,0
446066740/secondrep/,http://github.com/446066740/secondrep/,1,0,0,0,0,0,0,0,1
454Team/Assignment2/,http://github.com/454Team/Assignment2/,2,0,0,0,1,0,0,1,0
454Team/Assignment3/,http://github.com/454Team/Assignment3/,1,0,0,0,0,0,0,1,0
454Team/Project/,http://github.com/454Team/Project/,5,0,0,0,0,0,0,5,0
461316334/spring/,http://github.com/461316334/spring/,2,0,0,0,0,0,0,0,2
4dnucleome/cog-abm/,http://github.com/4dnucleome/cog-abm/,4,0,0,0,4,0,0,0,0
4gewinnt/dvbs/,http://github.com/4gewinnt/dvbs/,1,0,0,0,1,0,0,0,0
4IF-H4202/SysBag/,http://github.com/4IF-H4202/SysBag/,24,0,0,0,24,0,0,0,0
4ipalino/PlagiatsJaeger/,http://github.com/4ipalino/PlagiatsJaeger/,6,6,0,0,0,0,0,0,0
4lgar/PRO-HEIG-VD_2015/,http://github.com/4lgar/PRO-HEIG-VD_2015/,1,0,0,0,1,0,0,0,0
4m1g0/ipm-practicas/,http://github.com/4m1g0/ipm-practicas/,2,0,0,0,2,0,0,0,0
4nu81/examen/,http://github.com/4nu81/examen/,2,0,0,0,1,0,0,1,0
4pfel/OpenBSD_test/,http://github.com/4pfel/OpenBSD_test/,5,0,0,0,5,0,0,0,0
4r3/MVC-Boulder-Dash/,http://github.com/4r3/MVC-Boulder-Dash/,1,0,0,0,1,0,0,0,0
4zero4/dandelion/,http://github.com/4zero4/dandelion/,1,1,0,0,0,0,0,0,0
4ZP6Capstone2015/Capstone/,http://github.com/4ZP6Capstone2015/Capstone/,1,0,0,0,0,0,0,1,0
502BadGateway/New_Wizards/,http://github.com/502BadGateway/New_Wizards/,1,0,0,0,1,0,0,0,0
502BadGateway/project_3/,http://github.com/502BadGateway/project_3/,1,0,0,0,1,0,0,0,0
5730192821-NM/Project_Zombie/,http://github.com/5730192821-NM/Project_Zombie/,1,0,0,0,1,0,0,0,0
5730447921-PW/Project/,http://github.com/5730447921-PW/Project/,1,0,0,0,0,0,0,1,0
