Project,Last_Activity,Contributors,Stargazers,Lines_of_Code,UML_LOC_ratio_scaled,Class_Diagram_Files,No_of_Class_Diagrams,Archived_Commit_SHA,Archived_Class_Diagram_Files,No_of_Archived_Class_Diagrams
wakaleo/game-of-life/,2024-11-12 11:04:29+00:00,6,2037,43114062,6.63e-06,['gameoflife-web/tools/jmeter/docs/images/screenshots/class_diagram.gif'],1,ce7a8345329907ef9596bb7b51887602277763c6,['gameoflife-web/tools/jmeter/docs/images/screenshots/class_diagram.gif'],1
unknown-horizons/unknown-horizons/,2024-11-12 20:23:59+00:00,30,1426,3032021,0.00070589,"['development/road-directions.png', 'development/uml/production_classes.png', 'development/uml/components_implemented.png', 'development/uml/components_design.png']",4,840bd1a6a2795a96435181b1954c8820f8e9590b,['development/uml/components_design.png'],1
SonarSource/sonar-java/,2024-11-14 16:49:45+00:00,30,1133,18215625,0.000319926,"['its/plugin/projects/struts-1.3.9-lite/taglib/src/main/java/org/apache/struts/taglib/html/doc-files/htmlUML.gif', 'its/plugin/projects/struts-1.3.9-lite/core/src/main/java/org/apache/struts/action/doc-files/actionUML.gif', 'its/plugin/projects/struts-1.3.9-lite/taglib/src/main/java/org/apache/struts/taglib/bean/doc-files/beanUML.gif', 'its/plugin/projects/struts-1.3.9-lite/core/src/main/java/org/apache/struts/upload/doc-files/uploadUML.jpg', 'its/plugin/projects/struts-1.3.9-lite/core/src/main/java/org/apache/struts/config/doc-files/configUML.gif', 'its/plugin/projects/struts-1.3.9-lite/taglib/src/main/java/org/apache/struts/taglib/logic/doc-files/logicUML.gif', 'its/plugin/projects/struts-1.3.9-lite/core/src/main/java/org/apache/struts/validator/doc-files/validatorUML.jpg', 'its/plugin/projects/struts-1.3.9-lite/tiles/src/main/java/org/apache/struts/tiles/taglib/doc-files/tilesUML.gif', 'its/plugin/projects/struts-1.3.9-lite/taglib/src/main/java/org/apache/struts/taglib/nested/html/doc-files/nested-html.gif', 'its/plugin/projects/struts-1.3.9-lite/taglib/src/main/java/org/apache/struts/taglib/nested/logic/doc-files/nested-logic.gif', 'its/plugin/projects/struts-1.3.9-lite/tiles/src/main/java/org/apache/struts/tiles/doc-files/tilesUML.gif']",11,10302ab01003933abf482ca9b77c9a9cecbdbb60,"['its/plugin/projects/struts-1.3.9-lite/taglib/src/main/java/org/apache/struts/taglib/nested/doc-files/nestedUML.gif', 'its/plugin/projects/struts-1.3.9-lite/tiles/src/main/java/org/apache/struts/tiles/taglib/doc-files/tilesUML.gif']",2
spring-projects/spring-net/,2024-11-06 04:08:08+00:00,30,851,14838981,0.000103194,"['doc/reference/src/images/Migration_App_UML_Diagram.png', 'doc/reference/src/images/aop-uml.gif', 'doc/reference/src/images/movie-finder.gif']",3,8aeb95320a96bb2759a5d756632f23ebb775abc8,"['doc/reference/src/images/Migration_App_UML_Diagram.png', 'doc/reference/src/images/aop-uml.gif']",2
apache/wicket/,2024-11-10 21:10:53+00:00,30,739,14241323,0.000145656,"['wicket-user-guide/src/main/asciidoc/img/uml-component.png', 'wicket-user-guide/src/main/asciidoc/img/uml-imodel.png', 'wicket-user-guide/src/main/asciidoc/img/uml-form-component.png', 'wicket-user-guide/src/main/asciidoc/img/page-panel-hierarchy.png']",4,4c0c2d5d5b40bacfb4e9f169015b92953a8e3ef3,"['wicket-user-guide/src/docs/img/mywebapp-class-diagramm.jpg', 'wicket-user-guide/src/docs/img/uml-form-component.png', 'wicket-user-guide/src/docs/imgOrigin/mywebapp-class-diagramm.jpg', 'wicket-user-guide/src/docs/imgOrigin/uml-form-component.png']",4
stritti/log4js/,2024-10-25 17:21:56+00:00,8,449,420200,0.001278094,['log4js-site/xdocs/resources/images/Log4JS-UML.jpg'],1,7e876c43d7a077f6bbb341ed4f6a8af76584e415,['log4js-site/xdocs/resources/images/Log4JS-UML.jpg'],1
UnboundID/ldapsdk/,2024-11-13 22:03:09+00:00,1,338,88974637,1.82e-07,['ext/ant/manual/Tasks/image-classdiagram.gif'],1,b8fb23d5d9e4bff81ccad16b66783c032cdbda06,['ext/ant/manual/Tasks/image-classdiagram.gif'],1
abulka/pynsource/,2024-11-09 15:06:43+00:00,4,287,7428438,0.001083567,"['src/dialogs/help-images/help-ascii.jpg', 'src/dialogs/help-images/help01.jpg', 'src/dialogs/help-images/help-colour.jpg', 'Admin/doco-uml/parse_model_uml.png', 'Research/misc information and doco/pyNSourceUML_example01.gif', 'Research/yuml_python/yuml_order_example.png', 'Research/yuml_python/outyuml2.png', 'src/dialogs/help-images/plantuml01.jpg', 'Admin/doco-uml/OGL-like UML 2015.png', 'Admin/doco-uml/gui_uml_01_sha_884410.png', 'Research/yuml_python/yuml_pynsource2_example.png', 'Research/yuml_python/yuml_pynsource1_example.png', 'Admin/doco-uml/gui_uml_latest.png', 'Research/wx doco/Images/outyuml_big.png', 'Research/yuml_python/yuml_pynsource3_example.png']",15,b1b6d8cdc19d3a59c194caebce3e80e838468780,"['Admin/doco-uml/OGL-like UML.png', 'Research/misc information and doco/pyNSourceUML_example01.gif', 'Research/wx doco/Images/outyuml_big.png', 'Research/yuml_python/outyuml2.png', 'Research/yuml_python/yuml_order_example.png', 'Research/yuml_python/yuml_pynsource1_example.png', 'Research/yuml_python/yuml_pynsource2_example.png', 'Research/yuml_python/yuml_pynsource3_example.png']",8
tourdedave/elemental-selenium-tips/,2024-05-18 08:18:30+00:00,8,285,332847,0.001615064,['vendor/apache-jmeter-2.11/docs/images/screenshots/class_diagram.gif'],1,fc020aef9ae2937bc946cb008dfc19dc3c8e3ab8,['vendor/apache-jmeter-2.11/docs/images/screenshots/class_diagram.gif'],1
statismo/statismo/,2024-11-02 12:32:09+00:00,12,268,1050303,0.001535179,"['doc/IJ/pictures/class_diagram.png', 'doc/IJ/pictures/class_diagram.svg', 'doc/classdoc/class_diagram.png']",3,7ffc10d66e9d8586532b41c34e307da13c21e014,"['doc/IJ/pictures/class_diagram.png', 'doc/IJ/pictures/class_diagram.svg', 'doc/classdoc/class_diagram.png']",3
brian-j-smith/Mamba.jl/,2024-11-08 05:34:15+00:00,12,255,156387,0.006894013,"['doc/images/variateUML.png', 'doc/images/mcmcUML.png']",2,2775158e2650450f8704e1b78643c44fabeb51ee,"['doc/images/mcmcUML.png', 'doc/images/variateUML.png']",2
