Project,Last_Activity,Contributors,Stargazers,Lines_of_Code,UML_LOC_ratio_scaled,Class_Diagram_Files,No_of_Class_Diagrams,Archived_Commit_SHA,Archived_Class_Diagram_Files,No_of_Archived_Class_Diagrams
4dnucleome/cog-abm/,2024-08-09 17:24:23+00:00,3,6,218076,0.009890245,"['doc/AgentClassDiagram.png', 'doc/SimulationClassDiagram.png', 'AgentClassDiagram.png', 'SimulationClassDiagram.png']",4,6f6450141a996b067d3a396d47f4386215a4042c,"['AgentClassDiagram.png', 'doc/SimulationClassDiagram.png', 'SimulationClassDiagram.png', 'doc/AgentClassDiagram.png']",4
AlessandroSanino1994/NerdOrDungeons/,2024-02-28 02:41:46+00:00,1,3,203543,0.002644796,['UML/UML.png'],1,9bcde7c1b161e4f33f23b3d179c48a164aec7236,['UML/UML.png'],1
AnalogDevicesLyricLabs/dimple/,2024-04-02 07:25:15+00:00,4,80,7224951,0.000218144,"['modelers/matlab/lib/xunit_dist/matlab_xunit/architecture/html/class_diagram_c.gif', 'modelers/matlab/lib/xunit_dist/matlab_xunit/architecture/html/class_diagram_b.gif', 'modelers/matlab/lib/xunit_dist/matlab_xunit/architecture/html/class_diagram_a.gif']",3,507a0dd8a437a5d794dcc9be183bc88de309d393,"['modelers/matlab/lib/xunit_dist/matlab_xunit/architecture/html/class_diagram_a.gif', 'modelers/matlab/lib/xunit_dist/matlab_xunit/architecture/html/class_diagram_b.gif', 'modelers/matlab/lib/xunit_dist/matlab_xunit/architecture/html/class_diagram_c.gif']",3
Andresteve07/FINAL_AyED/,2024-10-18 03:46:57+00:00,1,2,95740,0.016900123,"['Informe/Imagenes/Diagrama_Clases_Final_AyED_v2.png', 'Otros/DiagramaClases_v1.png', 'Informe/Imagenes/Diagrama_Clases_Final_AyED.png']",3,1c4b96f23ad871a9fb8cb468c31f28516d19ab86,"['Informe/Imagenes/DiagramaClases_v1.png', 'Informe/Imagenes/Diagrama_Clases_Final_AyED.png', 'Informe/Imagenes/Diagrama_Clases_Final_AyED_v2.png', 'Otros/DiagramaClases_v1.png', 'Otros/Diagrama_Clases_Final_AyED.png', 'Otros/Diagrama_Clases_Final_AyED_v2.png']",6
Bernardo-MG/docs-bootstrap-template/,2024-09-17 18:50:57+00:00,1,2,922232,0.000579141,['src/static/img/example_class_diagram.png'],1,8282d007c3450344b5653fef36417d4f17d23e36,['demo/example_class_diagram.png'],1
Biomechanical-ToolKit/BTKCore/,2024-11-09 21:56:17+00:00,4,79,11584398,0.000133839,"['Utilities/matlab_xunit/architecture/html/class_diagram_c.gif', 'Utilities/matlab_xunit/architecture/html/class_diagram_b.gif', 'Utilities/matlab_xunit/architecture/html/class_diagram_a.gif']",3,d4c03aa9e354be16265d0efe0815c09b35abc642,"['Utilities/matlab_xunit/architecture/html/class_diagram_a.gif', 'Utilities/matlab_xunit/architecture/html/class_diagram_c.gif']",2
BirgPublicizer/Metabolomics-Analysis-Toolbox/,2024-03-13 05:29:51+00:00,1,6,1470084,0.00109513,"['lib/matlab_xunit/architecture/html/class_diagram_c.gif', 'lib/matlab_xunit/architecture/html/class_diagram_b.gif', 'lib/matlab_xunit/architecture/html/class_diagram_a.gif']",3,b99ce1785c8c6d078329c7a1e2de3bffbf3177e6,"['lib/matlab_xunit/architecture/html/class_diagram_a.gif', 'lib/matlab_xunit/architecture/html/class_diagram_b.gif', 'lib/matlab_xunit/architecture/html/class_diagram_c.gif']",3
BrOrlandi/SFECommerce/,2024-05-29 18:28:04+00:00,3,15,37284,0.014464855,['uml_diagram.png'],1,c60b1c7aad7e31682a7960845ded7f869ee494be,['uml_diagram.png'],1
Canadensys/narwhal-processor/,2023-11-29 01:10:31+00:00,5,6,140721,0.003828137,['doc/Narwhal Class Diagram.png'],1,a81e74d27eedfd68af199839acb3b7da8ed1d732,['doc/Narwhal Class Diagram.png'],1
ChrisCummins/pip-db/,2024-07-04 00:34:57+00:00,1,4,620981,0.000862948,['Documentation/plan/assets/uml_template.png'],1,c2fe5c48a635005cd0b72c2134761a8670f99f37,['Documentation/plan/assets/uml_template.png'],1
SBR2015/ootalk/,2024-01-02 20:48:05+00:00,9,2,52134,0.03104067,"['misc/UML/final/class.png', 'misc/UML/now_class.jpg', 'misc/UML/teacher/UML.png']",3,1defea6bb3f2c89792f9bd61308633842d1505ca,['misc/UML/teacher/UML.png'],1
SINTEF-9012/ThingML/,2024-10-07 04:57:42+00:00,19,103,2490537,0.000427379,"['compilers/docs/design.jpg', 'compilers/thingmltools/src/main/java/org/thingml/monitor/class.png']",2,d12b3c6b44ff077865f54e9db0c105e6e43b46ae,['compilers/docs/design.jpg'],1
SafirSDK/safir-sdk-core/,2024-07-26 11:01:26+00:00,5,9,12478641,0.000123826,"['docs/users_guide/images/vehicleapp_class_diagram.png', 'docs/users_guide/images/vehiclemmi_class_diagram.png', 'docs/users_guide/images/vehicledb_class_diagram.png']",3,c3a6f0d07ab6e8060d1b096bb87cc13daaa92625,"['docs/users_guide/images/vehicleapp_class_diagram.png', 'docs/users_guide/images/vehicledb_class_diagram.png', 'docs/users_guide/images/vehiclemmi_class_diagram.png']",3
SixK/CC1101-X2D-Heaters/,2023-12-06 22:25:44+00:00,1,10,4287918,0.000245768,"['www/PHPExcel-1.8/Documentation/assets/ClassDiagrams/ReaderWriter.png', 'www/PHPExcel-1.8/Documentation/assets/ClassDiagrams/Architecture.png']",2,d7161d692eee7bf4c6d81291eacbc65f1586d491,['www/PHPExcel-1.8/Documentation/assets/ClassDiagrams/Architecture.png'],1
SonarSource/sonar-java/,2024-11-14 16:49:45+00:00,30,1133,18215625,0.000319926,"['its/plugin/projects/struts-1.3.9-lite/taglib/src/main/java/org/apache/struts/taglib/html/doc-files/htmlUML.gif', 'its/plugin/projects/struts-1.3.9-lite/core/src/main/java/org/apache/struts/action/doc-files/actionUML.gif', 'its/plugin/projects/struts-1.3.9-lite/taglib/src/main/java/org/apache/struts/taglib/bean/doc-files/beanUML.gif', 'its/plugin/projects/struts-1.3.9-lite/core/src/main/java/org/apache/struts/upload/doc-files/uploadUML.jpg', 'its/plugin/projects/struts-1.3.9-lite/core/src/main/java/org/apache/struts/config/doc-files/configUML.gif', 'its/plugin/projects/struts-1.3.9-lite/taglib/src/main/java/org/apache/struts/taglib/logic/doc-files/logicUML.gif', 'its/plugin/projects/struts-1.3.9-lite/core/src/main/java/org/apache/struts/validator/doc-files/validatorUML.jpg', 'its/plugin/projects/struts-1.3.9-lite/tiles/src/main/java/org/apache/struts/tiles/taglib/doc-files/tilesUML.gif', 'its/plugin/projects/struts-1.3.9-lite/taglib/src/main/java/org/apache/struts/taglib/nested/html/doc-files/nested-html.gif', 'its/plugin/projects/struts-1.3.9-lite/taglib/src/main/java/org/apache/struts/taglib/nested/logic/doc-files/nested-logic.gif', 'its/plugin/projects/struts-1.3.9-lite/tiles/src/main/java/org/apache/struts/tiles/doc-files/tilesUML.gif']",11,10302ab01003933abf482ca9b77c9a9cecbdbb60,"['its/plugin/projects/struts-1.3.9-lite/taglib/src/main/java/org/apache/struts/taglib/nested/doc-files/nestedUML.gif', 'its/plugin/projects/struts-1.3.9-lite/tiles/src/main/java/org/apache/struts/tiles/taglib/doc-files/tilesUML.gif']",2
