Project,Last_Activity,Contributors,Stargazers,Lines_of_Code,UML_LOC_ratio_scaled,Class_Diagram_Files,No_of_Class_Diagrams,Archived_Commit_SHA,Archived_Class_Diagram_Files,No_of_Archived_Class_Diagrams
SquareBracketAssociates/PharoMooc/,2024-09-21 15:05:58+00:00,11,19,1098279,0.007362833,"['Slides/figures/NullObject.png', 'Slides/figures/LODCoreProblem.png', 'Slides/figures/VisitorReflectiveImplementation.png', 'Slides/figures/Visitor-SimpleExpressionHierarchy.png', 'Slides/figures/Visitor-Design.png', 'Slides/figures/Visitor-DonodeClever.png', 'Slides/figures/Visitor-ExpressionTree.png', 'Slides/figures/Visitor-ExpressionsVisitor.png', 'Slides/figures/Visitor-ItemControl.png', 'Exercises/figures/LAN1-.png', 'Slides/figures/Visitor-VisitorControl.png', 'Slides/figures/Visitor-donodeStupid.png', 'Slides/figures/items.png', 'Slides/figures/AddressDescription.png', 'Slides/figures/SUnitCore.png']",15,cf967c8a328ee919c3bba90911a2406eedb42c54,"['Slides/figures/Design-FatVsDispatch.png', 'Slides/figures/InheritanceDiagram-from-Object.png', 'Slides/figures/InheritanceDiagram-lookup-superclass.png', 'Slides/figures/InheritanceDiagram-lookup-withBlank.png', 'Slides/figures/InheritanceDiagram-lookup.png', 'Slides/figures/InheritanceDiagram-lookupTwoStages.png', 'Slides/figures/InheritanceDiagram-sendingMessage.png', 'Slides/figures/MetaclassDiagram.png', 'Slides/figures/Design-FatVsDispatchWithPackages.png', 'Slides/figures/InheritanceDiagram.png']",10
Stealth80/NickHollis/,2023-12-07 01:55:40+00:00,1,0,624377,0.000858222,['MobileFriendlyWebApp/public/img/class-diagram.png'],1,86bb9a6db465dc8c70597d134b53c385da669f27,['MobileFriendlyWebApp/public/img/class-diagram.png'],1
TeamW/Sports-Elimination-TP3/,2023-12-10 21:09:03+00:00,3,2,116668,0.004618582,['docs/diagrams/classDiagram.png'],1,2b5c352b2629471a66e1cbcac1f6c363ad8e8b78,['docs/diagrams/classDiagram.png'],1
TheAxeC/AxeSki/,2024-07-09 08:39:35+00:00,1,1,13045174,0.000821285,"['development/eindVerslag-tex/AnalyseADTAlgorithm/viewsmvc/diagram.png', 'development/eindVerslag-tex/AnalyseADTAlgorithm/viewsmvc/wiretak.png', 'development/eindVerslag-tex/AnalyseADTAlgorithm/viewsmvc/highlevel.png', 'development/eindVerslag-tex/AnalyseADTAlgorithm/compiler.png', 'development/eindVerslag-tex/AnalyseADTAlgorithm/viewsmvc/classtak.png', 'development/analyseVerslag-tex/AnalyseClassenDiagram/runtime.png', 'development/analyseVerslag-tex/AnalyseClassenDiagram/block.png', 'development/analyseVerslag-tex/AnalyseClassenDiagram/collections.png', 'development/analyseVerslag-tex/AnalyseClassenDiagram/core.png', 'development/analyseVerslag-tex/AnalyseClassenDiagram/exceptions.png', 'development/analyseVerslag-tex/AnalyseClassenDiagram/file.png', 'development/analyseVerslag-tex/AnalyseClassenDiagram/gui.png', 'development/eindVerslag-tex/AnalyseADTAlgorithm/dispatcher.png', 'development/analyseVerslag-tex/AnalyseClassenDiagram/model.png', 'development/analyseVerslag-tex/AnalyseClassenDiagram/uml.png', 'development/analyseVerslag-tex/AnalyseClassenDiagram/variables.png', 'development/eindVerslag-tex/AnalyseADTAlgorithm/blockmodel/baseclassuml.png', 'development/eindVerslag-tex/AnalyseADTAlgorithm/blockmodel/topleveluml.png', 'development/eindVerslag-tex/AnalyseADTAlgorithm/blockmodel/variablemodels.png', 'development/eindVerslag-tex/AnalyseADTAlgorithm/compiler-runtime-modelCollection.png']",20,640dbeda71d0ec5eb895cdcaa9a4c7d55d811953,"['development/analyseVerslag-tex/AnalyseClassenDiagram/uml.png', 'development/codebase/diagram.png', 'development/eindVerslag-tex/AnalyseADTAlgorithm/blockmodel/baseclassuml.png', 'development/eindVerslag-tex/AnalyseADTAlgorithm/blockmodel/topleveluml.png', 'development/eindVerslag-tex/AnalyseADTAlgorithm/viewsmvc/diagram.png', 'development/eindVerslag-tex/AnalyseClassenDiagram/uml.png']",6
TimLethbridge/umple/,2024-11-14 12:57:44+00:00,30,0,50060767,5.88E-05,"['umplewww/examples/warehouse.png', 'umplewww/examples/RoutesAndLocations.png', 'umpleonline/umplibrary/imagecache/VendingMachineClassDiagram.svg', 'umplewww/examples/2dshapes.png', 'umplewww/examples/OneToOneAssociations.png', 'umplewww/examples/StudentAddress.png']",6,e11a266841bb89691134edab415fae3030f1f3c0,"['umplewww/files/umple_example_uml.jpg', 'umpleonline/ump/imagecache/AfghanRainDesign.svg', 'umpleonline/ump/imagecache/VendingMachineClassDiagram.svg']",3
UnboundID/ldapsdk/,2024-11-13 22:03:09+00:00,1,338,88974637,1.82E-07,['ext/ant/manual/Tasks/image-classdiagram.gif'],1,b8fb23d5d9e4bff81ccad16b66783c032cdbda06,['ext/ant/manual/Tasks/image-classdiagram.gif'],1
ValentinMinder/CirculationMediator/,2024-05-02 14:47:54+00:00,3,1,47692,0.056557795,"['TheoreticalMediator/presentation/graphics/UML-0_general.png', 'TheoreticalMediator/presentation/graphics/UML-1_interaction.png', 'TheoreticalMediator/presentation/graphics/UML-2_carrierMessage.png', 'TheoreticalMediator/presentation/graphics/UML-2_carrierMessagePlus.png', 'TheoreticalMediator/presentation/graphics/UML-4_workers.png']",5,4c9c204e964a255319fe9750b3325a484441e8d6,"['TheoreticalMediator/presentation/graphics/UML-0_general.png', 'TheoreticalMediator/presentation/graphics/UML-1_interaction.png', 'TheoreticalMediator/presentation/graphics/UML-2_carrierMessage.png', 'TheoreticalMediator/presentation/graphics/UML-2_carrierMessagePlus.png', 'TheoreticalMediator/presentation/graphics/UML-4_workers.png']",5
WouterJ/wouterj.github.com/,2024-09-14 13:53:45+00:00,14,1,138126,0.007806217,"['img/security1-current-uml.png', 'img/security1-proposed-uml.png']",2,e80b3dc54365092e6c9abf094914d97749f14f10,"['img/oo2-uml-has-a.png', 'img/oo2-uml-is-a.png']",2
abreitenfeld/QCrystalTile/,2024-03-19 11:37:18+00:00,5,1,201201,0.00267565,['doc/architecture/architecture.svg'],1,6f6450141a996b067d3a396d47f4386215a4042c,['doc/architecture/architecture.svg'],1
abulka/pynsource/,2024-11-09 15:06:43+00:00,4,287,7428438,0.001083567,"['src/dialogs/help-images/help-ascii.jpg', 'src/dialogs/help-images/help01.jpg', 'src/dialogs/help-images/help-colour.jpg', 'Admin/doco-uml/parse_model_uml.png', 'Research/misc information and doco/pyNSourceUML_example01.gif', 'Research/yuml_python/yuml_order_example.png', 'Research/yuml_python/outyuml2.png', 'src/dialogs/help-images/plantuml01.jpg', 'Admin/doco-uml/OGL-like UML 2015.png', 'Admin/doco-uml/gui_uml_01_sha_884410.png', 'Research/yuml_python/yuml_pynsource2_example.png', 'Research/yuml_python/yuml_pynsource1_example.png', 'Admin/doco-uml/gui_uml_latest.png', 'Research/wx doco/Images/outyuml_big.png', 'Research/yuml_python/yuml_pynsource3_example.png']",15,b1b6d8cdc19d3a59c194caebce3e80e838468780,"['Admin/doco-uml/OGL-like UML.png', 'Research/misc information and doco/pyNSourceUML_example01.gif', 'Research/wx doco/Images/outyuml_big.png', 'Research/yuml_python/outyuml2.png', 'Research/yuml_python/yuml_order_example.png', 'Research/yuml_python/yuml_pynsource1_example.png', 'Research/yuml_python/yuml_pynsource2_example.png', 'Research/yuml_python/yuml_pynsource3_example.png']",8
adityaapte/CERR/,2024-11-06 14:09:43+00:00,7,192,36085779,3.90E-05,"['Unit_Testing/matlab_xunit_3/matlab_xunit/architecture/html/class_diagram_a.gif', 'Unit_Testing/matlab_xunit_3/matlab_xunit/architecture/html/class_diagram_c.gif', 'Unit_Testing/matlab_xunit_3/matlab_xunit/architecture/html/class_diagram_b.gif']",3,1605bfab1d55ba43116bd046a11429a9a595e6f9,"['Unit_Testing/matlab_xunit_3/matlab_xunit/architecture/html/class_diagram_a.gif', 'Unit_Testing/matlab_xunit_3/matlab_xunit/architecture/html/class_diagram_b.gif', 'Unit_Testing/matlab_xunit_3/matlab_xunit/architecture/html/class_diagram_c.gif']",3
apache/click/,2024-10-07 04:28:28+00:00,4,14,3510795,0.000916177,"['documentation/xdocs/src/images/controls/container-package-class-diagram.png', 'documentation/xdocs/src/images/ajax/ajax-class-diagram.png', 'documentation/xdocs/src/images/controls/behavior-class-diagram.png', 'documentation/xdocs/src/images/controls/control-class-diagram.png', 'documentation/xdocs/src/images/controls/control-package-class-diagram.png', 'documentation/xdocs/src/images/pages/click-class-diagram.png']",6,92cffd5b5991580a97005235319304d08b78d5d7,"['https://www.github.com/apache/click/tree/trunk/documentation/xdocs/src/images/ajax/ajax-class-diagram.png', 'https://www.github.com/apache/click/tree/trunk/documentation/xdocs/src/images/controls/behavior-class-diagram.png', 'https://www.github.com/apache/click/tree/trunk/documentation/xdocs/src/images/controls/control-class-diagram.png', 'https://www.github.com/apache/click/tree/trunk/documentation/xdocs/src/images/controls/control-package-class-diagram.png', 'https://www.github.com/apache/click/tree/trunk/documentation/xdocs/src/images/pages/click-class-diagram.png']",5
apache/struts-archive/,2024-06-06 04:17:57+00:00,8,1,23980174,0.000331601,"['struts-doc-1.1/api/org/apache/struts/tiles/doc-files/tilesUML.gif', 'struts-doc-1.1/api/org/apache/struts/validator/doc-files/validatorUML.jpg', 'struts-doc-1.1/api/org/apache/struts/taglib/html/doc-files/htmlUML.gif', 'struts-doc-1.1/api/org/apache/struts/taglib/bean/doc-files/beanUML.gif', 'struts-doc-1.1/api/org/apache/struts/config/doc-files/configUML.gif', 'struts-doc-1.1/api/org/apache/struts/taglib/logic/doc-files/logicUML.gif', 'struts-doc-1.1/api/org/apache/struts/taglib/nested/bean/doc-files/nested-bean.gif', 'struts-doc-1.1/api/org/apache/struts/actions/doc-files/actionsUML.gif', 'struts-doc-1.1/api/org/apache/struts/taglib/nested/logic/doc-files/nested-logic.gif', 'struts-doc-1.1/api/org/apache/struts/taglib/nested/doc-files/nestedUML.gif', 'struts-doc-1.1/api/org/apache/struts/upload/doc-files/uploadUML.jpg', 'struts-doc-1.1/api/org/apache/struts/action/doc-files/actionUML.gif', 'struts-doc-1.1/api/org/apache/struts/taglib/template/doc-files/template.gif', 'struts-doc-1.1/api/org/apache/struts/taglib/tiles/doc-files/tilesUML.gif', 'struts-doc-1.1/api/org/apache/struts/taglib/nested/html/doc-files/nested-html.gif']",15,5158776f5f7310821330137311880c8edb969f0e,"['struts-doc-1.1/api/org/apache/struts/actions/doc-files/actionsUML.gif', 'struts-doc-1.1/api/org/apache/struts/config/doc-files/configUML.gif', 'struts-doc-1.1/api/org/apache/struts/taglib/bean/doc-files/beanUML.gif', 'struts-doc-1.1/api/org/apache/struts/taglib/html/doc-files/htmlUML.gif', 'struts-doc-1.1/api/org/apache/struts/taglib/logic/doc-files/logicUML.gif', 'struts-doc-1.1/api/org/apache/struts/taglib/nested/doc-files/nestedUML.gif', 'struts-doc-1.1/api/org/apache/struts/taglib/tiles/doc-files/tilesUML.gif', 'struts-doc-1.1/api/org/apache/struts/tiles/doc-files/tilesUML.gif', 'struts-doc-1.1/api/org/apache/struts/upload/doc-files/uploadUML.jpg', 'struts-doc-1.1/api/org/apache/struts/validator/doc-files/validatorUML.jpg', 'struts-sandbox/tiles-original/core-library/src/java/org/apache/taglib/tiles/doc-files/tilesUML.gif', 'struts-sandbox/tiles-original/core-library/src/java/org/apache/tiles/doc-files/tilesUML.gif']",12
apache/tomee-site/,2024-06-06 04:10:40+00:00,9,1,31380309,1.13E-05,['content/resources/images/ClassDiagram.png'],1,2213df2419fecc8fb43b018b52f2094530a74a96,['https://www.github.com/apache/tomee-site/tree/trunk/content/resources/images/ClassDiagram.png'],1
apache/wicket/,2024-11-10 21:10:53+00:00,30,739,14241323,0.000145656,"['wicket-user-guide/src/main/asciidoc/img/uml-component.png', 'wicket-user-guide/src/main/asciidoc/img/uml-imodel.png', 'wicket-user-guide/src/main/asciidoc/img/uml-form-component.png', 'wicket-user-guide/src/main/asciidoc/img/page-panel-hierarchy.png']",4,4c0c2d5d5b40bacfb4e9f169015b92953a8e3ef3,"['wicket-user-guide/src/docs/img/mywebapp-class-diagramm.jpg', 'wicket-user-guide/src/docs/img/uml-form-component.png', 'wicket-user-guide/src/docs/imgOrigin/mywebapp-class-diagramm.jpg', 'wicket-user-guide/src/docs/imgOrigin/uml-form-component.png']",4
arcadenea/rockbot/,2024-08-11 21:17:27+00:00,2,5,3733067,0.000138644,['docs/diagram.png'],1,babd533dc6e8d57e5da92503ea5116677a390ee5,['docs/diagram.png'],1
atoader/HilbertRTree/,2024-08-27 02:06:41+00:00,1,31,1524148,0.000348104,['doc/Report/img/ClassDiagram.png'],1,971e66b56743d8f2a8d0841bfcd4a2aac6b926dd,['doc/Report/img/ClassDiagram.png'],1
bboecherer/SailingSchoolManagerWPF/,2024-05-31 14:24:14+00:00,4,0,845015,0.008932868,"['DB_BU.png', 'ClassDiagram1.jpg', 'ClassDiagram2.png', 'ClassDiagram3.png', 'ClassDiagram4.png', 'ClassDiagram5.png', 'ClassDiagram6.png', 'ClassDiagram7.png', 'ClassDiagram1.png', 'DB_Course.png', 'DB_Invoices.png', 'DB_Planing.png', 'DB_Qualis.png', 'DB_Student_Insructor.png']",14,6335ebd6f12e8be5237fac2aae9c364a9934fee4,"['ClassDiagram1.jpg', 'ClassDiagram1.png', 'ClassDiagram2.png', 'ClassDiagram3.png']",4
bestplay9384/LTE-Sim-Simulator/,2024-03-16 15:53:15+00:00,1,0,37604471,8.47E-06,['DOC/uml.png'],1,be506535325b354b4164cb6829d40baf4ab26db9,['DOC/uml.png'],1
blackberry/BB10-WebWorks-Community-Samples/,2023-11-29 06:51:31+00:00,18,44,91721751,0,['Ant-Build-Script/tools/apache-ant-1.8.2/docs/manual/Tasks/image-classdiagram.gif'],1,79c1ba132e27e16d87784e6cdc016d1d62899cb3,"['Ant-Build-Script/tools/apache-ant-1.8.2/docs/manual/Tasks/image-classdiagram.gif', 'Ant-Cordova-Build-Script/tools/apache-ant-1.8.2/docs/manual/Tasks/image-classdiagram.gif']",2
bootchk/pensool/,2024-08-27 18:42:08+00:00,1,13,268079,0.116723011,"['doc/html/uml_class_diagram_for_source_g_19.gif', 'doc/html/uml_class_diagram_for_source_m_12.gif', 'doc/html/uml_class_diagram_for_source_m_10.gif', 'doc/html/uml_class_diagram_for_source_m.gif', 'doc/html/uml_class_diagram_for_source_l.gif', 'doc/html/uml_class_diagram_for_source_g_9.gif', 'doc/html/uml_class_diagram_for_source_g_8.gif', 'doc/html/uml_class_diagram_for_source_g_7.gif', 'doc/html/uml_class_diagram_for_source_g_6.gif', 'doc/html/uml_class_diagram_for_source_g_5.gif', 'doc/html/uml_class_diagram_for_source_g_4.gif', 'doc/html/uml_class_diagram_for_source_g_3.gif', 'doc/html/uml_class_diagram_for_source_g_25.gif', 'doc/html/uml_class_diagram_for_source_g_24.gif', 'doc/html/uml_class_diagram_for_source_g_23.gif', 'doc/html/uml_class_diagram_for_source_g_22.gif', 'doc/html/uml_class_diagram_for_source_g_21.gif', 'doc/html/uml_class_diagram_for_source_g_20.gif', 'doc/html/uml_class_diagram_for_source_m_11.gif', 'doc/html/uml_class_diagram_for_source_m_14.gif', 'doc/html/uml_class_diagram_for_source_m_13.gif', 'doc/html/uml_class_diagram_for_source_m_9.gif', 'doc/html/uml_class_diagram_for_source_p_5.gif', 'doc/html/uml_class_diagram_for_source_s.gif', 'doc/html/uml_class_diagram_for_source_s_2.gif', 'doc/html/uml_class_diagram_for_source_t.gif', 'doc/html/uml_class_diagram_for_source_p_3.gif', 'doc/html/uml_class_diagram_for_source_p_2.gif', 'doc/html/uml_class_diagram_for_source_p.gif', 'doc/html/uml_class_diagram_for_source_m_8.gif', 'doc/html/uml_class_diagram_for_source_p_4.gif', 'doc/html/uml_class_diagram_for_source_m_7.gif', 'doc/html/uml_class_diagram_for_source_m_6.gif', 'doc/html/uml_class_diagram_for_source_m_5.gif', 'doc/html/uml_class_diagram_for_source_m_4.gif', 'doc/html/uml_class_diagram_for_source_m_3.gif', 'doc/html/uml_class_diagram_for_source_m_2.gif', 'doc/html/uml_class_diagram_for_source_m_15.gif', 'doc/html/uml_class_diagram_for_source_g_2.gif', 'doc/html/uml_class_diagram_for_source_b_2.gif', 'doc/html/uml_class_diagram_for_source_g_18.gif', 'doc/html/uml_class_diagram_for_source_d.gif', 'doc/html/uml_class_diagram_for_pensool_.gif', 'doc/html/uml_class_diagram_for_source_b.gif', 'doc/html/uml_class_diagram_for_source_b_3.gif', 'doc/html/uml_class_diagram_for_source_b_4.gif', 'doc/html/uml_class_diagram_for_source_b_5.gif', 'doc/html/uml_class_diagram_for_source_c.gif', 'doc/html/uml_class_diagram_for_source_g_17.gif', 'doc/html/uml_class_diagram_for_source_c_2.gif', 'doc/html/uml_class_diagram_for_source_g.gif', 'doc/html/uml_class_diagram_for_source_g_10.gif', 'doc/html/uml_class_diagram_for_source_g_11.gif', 'doc/html/uml_class_diagram_for_source_g_12.gif', 'doc/html/uml_class_diagram_for_source_g_13.gif', 'doc/html/uml_class_diagram_for_source_g_14.gif', 'doc/html/uml_class_diagram_for_source_g_15.gif', 'doc/html/uml_class_diagram_for_source_g_16.gif']",58,3dcc7cea3eb37a70b2baa0dc8817a29a15bbfed4,"['doc/html/uml_class_diagram_for_pensool_.gif', 'doc/html/uml_class_diagram_for_source_b.gif', 'doc/html/uml_class_diagram_for_source_b_2.gif', 'doc/html/uml_class_diagram_for_source_b_3.gif', 'doc/html/uml_class_diagram_for_source_b_4.gif', 'doc/html/uml_class_diagram_for_source_b_5.gif', 'doc/html/uml_class_diagram_for_source_c.gif', 'doc/html/uml_class_diagram_for_source_c_2.gif', 'doc/html/uml_class_diagram_for_source_d.gif', 'doc/html/uml_class_diagram_for_source_g.gif', 'doc/html/uml_class_diagram_for_source_g_10.gif', 'doc/html/uml_class_diagram_for_source_g_11.gif', 'doc/html/uml_class_diagram_for_source_g_12.gif', 'doc/html/uml_class_diagram_for_source_g_13.gif', 'doc/html/uml_class_diagram_for_source_g_14.gif', 'doc/html/uml_class_diagram_for_source_g_15.gif', 'doc/html/uml_class_diagram_for_source_g_17.gif', 'doc/html/uml_class_diagram_for_source_g_18.gif', 'doc/html/uml_class_diagram_for_source_g_19.gif', 'doc/html/uml_class_diagram_for_source_g_2.gif', 'doc/html/uml_class_diagram_for_source_g_20.gif', 'doc/html/uml_class_diagram_for_source_g_21.gif', 'doc/html/uml_class_diagram_for_source_g_22.gif', 'doc/html/uml_class_diagram_for_source_g_23.gif', 'doc/html/uml_class_diagram_for_source_g_24.gif', 'doc/html/uml_class_diagram_for_source_g_25.gif', 'doc/html/uml_class_diagram_for_source_g_3.gif', 'doc/html/uml_class_diagram_for_source_g_4.gif', 'doc/html/uml_class_diagram_for_source_g_5.gif', 'doc/html/uml_class_diagram_for_source_g_6.gif', 'doc/html/uml_class_diagram_for_source_g_7.gif', 'doc/html/uml_class_diagram_for_source_g_8.gif', 'doc/html/uml_class_diagram_for_source_g_9.gif', 'doc/html/uml_class_diagram_for_source_l.gif', 'doc/html/uml_class_diagram_for_source_m_10.gif', 'doc/html/uml_class_diagram_for_source_m_11.gif', 'doc/html/uml_class_diagram_for_source_m_12.gif', 'doc/html/uml_class_diagram_for_source_m_13.gif', 'doc/html/uml_class_diagram_for_source_m_14.gif', 'doc/html/uml_class_diagram_for_source_m_15.gif', 'doc/html/uml_class_diagram_for_source_m_2.gif', 'doc/html/uml_class_diagram_for_source_m_3.gif', 'doc/html/uml_class_diagram_for_source_m_4.gif', 'doc/html/uml_class_diagram_for_source_m_5.gif', 'doc/html/uml_class_diagram_for_source_m_6.gif', 'doc/html/uml_class_diagram_for_source_m_7.gif', 'doc/html/uml_class_diagram_for_source_m_8.gif', 'doc/html/uml_class_diagram_for_source_m_9.gif', 'doc/html/uml_class_diagram_for_source_p.gif', 'doc/html/uml_class_diagram_for_source_p_2.gif', 'doc/html/uml_class_diagram_for_source_p_3.gif', 'doc/html/uml_class_diagram_for_source_p_4.gif', 'doc/html/uml_class_diagram_for_source_p_5.gif', 'doc/html/uml_class_diagram_for_source_s.gif', 'doc/html/uml_class_diagram_for_source_s_2.gif', 'doc/html/uml_class_diagram_for_source_t.gif']",56
