repo,stargazers_count,GitHub URL,Total number of UML files,No. of .uml,No. of .xmi,No. of .svg,No. of .png,No. of .jpeg,No. of .bmp,No. of .jpg,No. of .gif,Model Link - Github
biolab/orange3,4039.0,http://github.com/biolab/orange3/,1,0,0,0,1,0,0,0,0,https://www.github.com/biolab/orange3/tree/master/doc/visual-programming/source/widgets/visualize/images/SieveDiagram-Titanic.png
Dolibarr/dolibarr,3932.0,http://github.com/Dolibarr/dolibarr/,1,1,0,0,0,0,0,0,0,https://www.github.com/Dolibarr/dolibarr/tree/develop/dev/uml/dolibarr.uml
CGAL/cgal,3824.0,http://github.com/CGAL/cgal/,5,0,0,0,5,0,0,0,0,https://www.github.com/CGAL/cgal/tree/master/Combinatorial_map/doc/Combinatorial_map/fig/Diagramme_class.png
CGAL/cgal,3824.0,http://github.com/CGAL/cgal/,5,0,0,0,5,0,0,0,0,https://www.github.com/CGAL/cgal/tree/master/GraphicsView/doc/GraphicsView/fig/uml-design.png
CGAL/cgal,3824.0,http://github.com/CGAL/cgal/,5,0,0,0,5,0,0,0,0,https://www.github.com/CGAL/cgal/tree/master/Linear_cell_complex/doc/Linear_cell_complex/fig/Diagramme_class.png
CGAL/cgal,3824.0,http://github.com/CGAL/cgal/,5,0,0,0,5,0,0,0,0,https://www.github.com/CGAL/cgal/tree/master/Surface_mesh_parameterization/doc/Surface_mesh_parameterization/fig/parameterizer_class_diagram.png
CGAL/cgal,3824.0,http://github.com/CGAL/cgal/,5,0,0,0,5,0,0,0,0,https://www.github.com/CGAL/cgal/tree/master/Surface_mesh_parameterization/doc/Surface_mesh_parameterization/fig/parameterizer_class_diagram_simplified.png
phpDocumentor/phpDocumentor2,3810.0,http://github.com/phpDocumentor/phpDocumentor2/,1,0,0,0,1,0,0,0,0,https://www.github.com/phpDocumentor/phpDocumentor2/tree/master/src/phpDocumentor/Plugin/Scrybe/docs/internals/images/TableOfContents_Class_Diagram.png
apache/maven,3573.0,http://github.com/apache/maven/,1,0,0,0,1,0,0,0,0,https://www.github.com/apache/maven/tree/master/maven-core/src/site/resources/design/2.1-lifecycle-refactor-sequence-diagram.png
code4craft/netty-learning,3479.0,http://github.com/code4craft/netty-learning/,2,0,0,0,2,0,0,0,0,https://www.github.com/code4craft/netty-learning/tree/master/asserts/diagram-channel-buffer.png
code4craft/netty-learning,3479.0,http://github.com/code4craft/netty-learning/,2,0,0,0,2,0,0,0,0,https://www.github.com/code4craft/netty-learning/tree/master/asserts/diagram-wrapped-channel-buffer.png
munificent/game-programming-patterns,3462.0,http://github.com/munificent/game-programming-patterns/,1,0,0,0,1,0,0,0,0,https://www.github.com/munificent/game-programming-patterns/tree/master/html/images/component-uml.png
OGRECave/ogre,3235.0,http://github.com/OGRECave/ogre/,1,0,0,0,1,0,0,0,0,https://www.github.com/OGRECave/ogre/tree/master/Docs/src/images/uml-overview.png
OculusVR/RakNet,3177.0,http://github.com/OculusVR/RakNet/,1,0,0,0,0,0,0,1,0,https://www.github.com/OculusVR/RakNet/tree/master/Help/RakNetUML.jpg
droolsjbpm/optaplanner,2990.0,http://github.com/droolsjbpm/optaplanner/,4,0,0,0,4,0,0,0,0,https://www.github.com/droolsjbpm/optaplanner/tree/master/optaplanner-docs/src/main/docbook/en-US/images/Chapter-Score_calculation/incrementalScoreCalculatorSequenceDiagram.png
droolsjbpm/optaplanner,2990.0,http://github.com/droolsjbpm/optaplanner/,4,0,0,0,4,0,0,0,0,https://www.github.com/droolsjbpm/optaplanner/tree/master/optaplanner-docs/src/main/docbook/en-US/images/Chapter-Score_calculation/scoreClassDiagram.png
droolsjbpm/optaplanner,2990.0,http://github.com/droolsjbpm/optaplanner/,4,0,0,0,4,0,0,0,0,https://www.github.com/droolsjbpm/optaplanner/tree/master/optaplanner-docs/src/main/docbook/en-US/images/Chapter-Use_cases_and_examples/examinationDomainDiagram.png
droolsjbpm/optaplanner,2990.0,http://github.com/droolsjbpm/optaplanner/,4,0,0,0,4,0,0,0,0,https://www.github.com/droolsjbpm/optaplanner/tree/master/optaplanner-docs/src/main/docbook/en-US/images/Chapter-Use_cases_and_examples/nQueensDomainDiagram.png
core-plot/core-plot,2754.0,http://github.com/core-plot/core-plot/,1,0,0,0,1,0,0,0,0,https://www.github.com/core-plot/core-plot/tree/master/documentation/images/ClassDiagram.png
saki4510t/UVCCamera,2673.0,http://github.com/saki4510t/UVCCamera/,1,0,0,0,1,0,0,0,0,https://www.github.com/saki4510t/UVCCamera/tree/master/libuvccamera/src/main/jni/rapidjson/doc/diagram/iterative-parser-states-diagram.png
qos-ch/logback,2669.0,http://github.com/qos-ch/logback/,2,1,0,0,0,0,0,1,0,https://www.github.com/qos-ch/logback/tree/master/logback-site/src/site/resources/manual/images/chapters/appenders/appenderClassDiagram.jpg
qos-ch/logback,2669.0,http://github.com/qos-ch/logback/,2,1,0,0,0,0,0,1,0,https://www.github.com/qos-ch/logback/tree/master/logback-site/src/site/resources/manual/images/chapters/appenders/appender.uml
simple-android-framework/android_design_patterns_analysis,2651.0,http://github.com/simple-android-framework/android_design_patterns_analysis/,11,0,0,0,11,0,0,0,0,https://www.github.com/simple-android-framework/android_design_patterns_analysis/tree/master/builder/mr.simple/images/builder-uml.png
simple-android-framework/android_design_patterns_analysis,2651.0,http://github.com/simple-android-framework/android_design_patterns_analysis/,11,0,0,0,11,0,0,0,0,https://www.github.com/simple-android-framework/android_design_patterns_analysis/tree/master/command/lijunhuayc/images/lijunhuayc_uml.png
simple-android-framework/android_design_patterns_analysis,2651.0,http://github.com/simple-android-framework/android_design_patterns_analysis/,11,0,0,0,11,0,0,0,0,https://www.github.com/simple-android-framework/android_design_patterns_analysis/tree/master/iterator/haoxiqiang/images/Iterator_UML_class_diagram.svg.png
simple-android-framework/android_design_patterns_analysis,2651.0,http://github.com/simple-android-framework/android_design_patterns_analysis/,11,0,0,0,11,0,0,0,0,https://www.github.com/simple-android-framework/android_design_patterns_analysis/tree/master/prototype/mr.simple/images/prototype-uml.png
simple-android-framework/android_design_patterns_analysis,2651.0,http://github.com/simple-android-framework/android_design_patterns_analysis/,11,0,0,0,11,0,0,0,0,https://www.github.com/simple-android-framework/android_design_patterns_analysis/tree/master/proxy/singwhatiwanna/images/proxy-uml.png
simple-android-framework/android_design_patterns_analysis,2651.0,http://github.com/simple-android-framework/android_design_patterns_analysis/,11,0,0,0,11,0,0,0,0,https://www.github.com/simple-android-framework/android_design_patterns_analysis/tree/master/strategy/gkerison/images/strategy-kerison-uml-android-animation-matrix.png
simple-android-framework/android_design_patterns_analysis,2651.0,http://github.com/simple-android-framework/android_design_patterns_analysis/,11,0,0,0,11,0,0,0,0,https://www.github.com/simple-android-framework/android_design_patterns_analysis/tree/master/strategy/gkerison/images/strategy-kerison-uml-android-animation.png
simple-android-framework/android_design_patterns_analysis,2651.0,http://github.com/simple-android-framework/android_design_patterns_analysis/,11,0,0,0,11,0,0,0,0,https://www.github.com/simple-android-framework/android_design_patterns_analysis/tree/master/strategy/gkerison/images/strategy-kerison-uml-android-interpolator.png
simple-android-framework/android_design_patterns_analysis,2651.0,http://github.com/simple-android-framework/android_design_patterns_analysis/,11,0,0,0,11,0,0,0,0,https://www.github.com/simple-android-framework/android_design_patterns_analysis/tree/master/strategy/gkerison/images/strategy-kerison-uml-android.png
simple-android-framework/android_design_patterns_analysis,2651.0,http://github.com/simple-android-framework/android_design_patterns_analysis/,11,0,0,0,11,0,0,0,0,https://www.github.com/simple-android-framework/android_design_patterns_analysis/tree/master/strategy/gkerison/images/strategy-kerison-uml-calc.png
simple-android-framework/android_design_patterns_analysis,2651.0,http://github.com/simple-android-framework/android_design_patterns_analysis/,11,0,0,0,11,0,0,0,0,https://www.github.com/simple-android-framework/android_design_patterns_analysis/tree/master/strategy/gkerison/images/strategy-kerison-uml.png
textlint/textlint,2551.0,http://github.com/textlint/textlint/,1,0,0,0,1,0,0,0,0,https://www.github.com/textlint/textlint/tree/master/docs/resources/architecture.png
imfly/bitcoin-on-nodejs,2482.0,http://github.com/imfly/bitcoin-on-nodejs/,1,0,0,0,1,0,0,0,0,https://www.github.com/imfly/bitcoin-on-nodejs/tree/master/styles/images/5/appjs-uml.png
spring-projects/spring-batch,2342.0,http://github.com/spring-projects/spring-batch/,10,0,0,0,0,0,0,6,4,https://www.github.com/spring-projects/spring-batch/tree/master/src/models/domain-chunk-view-classdiagram.gif
spring-projects/spring-batch,2342.0,http://github.com/spring-projects/spring-batch/,10,0,0,0,0,0,0,6,4,https://www.github.com/spring-projects/spring-batch/tree/master/src/models/domain-classdiagram.gif
spring-projects/spring-batch,2342.0,http://github.com/spring-projects/spring-batch/,10,0,0,0,0,0,0,6,4,https://www.github.com/spring-projects/spring-batch/tree/master/src/models/repository-classdiagram.gif
spring-projects/spring-batch,2342.0,http://github.com/spring-projects/spring-batch/,10,0,0,0,0,0,0,6,4,https://www.github.com/spring-projects/spring-batch/tree/master/src/site/docbook/reference/images/domain-classdiagram.jpg
spring-projects/spring-batch,2342.0,http://github.com/spring-projects/spring-batch/,10,0,0,0,0,0,0,6,4,https://www.github.com/spring-projects/spring-batch/tree/master/src/site/docbook/reference/images/flat-file-input-source-design.gif
spring-projects/spring-batch,2342.0,http://github.com/spring-projects/spring-batch/,10,0,0,0,0,0,0,6,4,https://www.github.com/spring-projects/spring-batch/tree/master/src/site/docbook/reference/images/flat-file-input-source-design.jpg
spring-projects/spring-batch,2342.0,http://github.com/spring-projects/spring-batch/,10,0,0,0,0,0,0,6,4,https://www.github.com/spring-projects/spring-batch/tree/master/src/site/docbook/reference/images/flatfile-input-source-diagram.jpg
spring-projects/spring-batch,2342.0,http://github.com/spring-projects/spring-batch/,10,0,0,0,0,0,0,6,4,https://www.github.com/spring-projects/spring-batch/tree/master/src/site/docbook/reference/images/io-design.jpg
spring-projects/spring-batch,2342.0,http://github.com/spring-projects/spring-batch/,10,0,0,0,0,0,0,6,4,https://www.github.com/spring-projects/spring-batch/tree/master/src/site/docbook/reference/images/item-reader-design.jpg
spring-projects/spring-batch,2342.0,http://github.com/spring-projects/spring-batch/,10,0,0,0,0,0,0,6,4,https://www.github.com/spring-projects/spring-batch/tree/master/src/site/docbook/reference/images/repository-classdiagram.jpg
h2oai/h2o-2,2223.0,http://github.com/h2oai/h2o-2/,1,1,0,0,0,0,0,0,0,https://www.github.com/h2oai/h2o-2/tree/master/docs/uml/run_glm_from_r.uml
webpack/react-starter,2221.0,http://github.com/webpack/react-starter/,1,0,0,0,1,0,0,0,0,https://www.github.com/webpack/react-starter/tree/master/NOTES/importsDiagram.png
xamarin/monodroid-samples,2194.0,http://github.com/xamarin/monodroid-samples/,1,0,0,0,1,0,0,0,0,https://www.github.com/xamarin/monodroid-samples/tree/master/PlatformFeatures/SimpleContentProvider/ClassDiagram1.png
apache/incubator-geode,2190.0,http://github.com/apache/incubator-geode/,2,0,0,0,1,0,0,0,1,https://www.github.com/apache/incubator-geode/tree/master/gemfire-core/src/main/java/com/gemstone/gemfire/cache/client/internal/doc-files/client_static_diagram.png
apache/incubator-geode,2190.0,http://github.com/apache/incubator-geode/,2,0,0,0,1,0,0,0,1,https://www.github.com/apache/incubator-geode/tree/master/gemfire-core/src/main/java/com/gemstone/gemfire/cache/doc-files/architecture.gif
linkedin/gobblin,2121.0,http://github.com/linkedin/gobblin/,1,0,0,0,1,0,0,0,0,https://www.github.com/linkedin/gobblin/tree/master/gobblin-docs/img/Gobblin-Metrics-Architecture.png
kermitt2/grobid,2060.0,http://github.com/kermitt2/grobid/,2,0,0,0,2,0,0,0,0,https://www.github.com/kermitt2/grobid/tree/master/grobid-core/doc/Annotations/ActivityDiagram.png
kermitt2/grobid,2060.0,http://github.com/kermitt2/grobid/,2,0,0,0,2,0,0,0,0,https://www.github.com/kermitt2/grobid/tree/master/grobid-core/doc/Annotations/ClassDiagram.png
wakaleo/game-of-life,1967.0,http://github.com/wakaleo/game-of-life/,1,0,0,0,0,0,0,0,1,https://www.github.com/wakaleo/game-of-life/tree/master/gameoflife-web/tools/jmeter/docs/images/screenshots/class_diagram.gif
unconed/MathBox.js,1935.0,http://github.com/unconed/MathBox.js/,1,0,0,0,1,0,0,0,0,https://www.github.com/unconed/MathBox.js/tree/master/resources/architecture.png
nodejs/node-convergence-archive,1852.0,http://github.com/nodejs/node-convergence-archive/,1,0,0,0,1,0,0,0,0,https://www.github.com/nodejs/node-convergence-archive/tree/master/deps/uv/docs/src/static/architecture.png
lsegal/yard,1843.0,http://github.com/lsegal/yard/,3,0,0,0,3,0,0,0,0,https://www.github.com/lsegal/yard/tree/master/docs/images/overview-class-diagram.png
lsegal/yard,1843.0,http://github.com/lsegal/yard/,3,0,0,0,3,0,0,0,0,https://www.github.com/lsegal/yard/tree/master/docs/images/parser-class-diagram.png
lsegal/yard,1843.0,http://github.com/lsegal/yard/,3,0,0,0,3,0,0,0,0,https://www.github.com/lsegal/yard/tree/master/docs/images/tags-class-diagram.png
asciidocfx/AsciidocFX,1716.0,http://github.com/asciidocfx/AsciidocFX/,3,0,0,0,3,0,0,0,0,https://www.github.com/asciidocfx/AsciidocFX/tree/master/conf/booksample/images/uml-diagram.png
asciidocfx/AsciidocFX,1716.0,http://github.com/asciidocfx/AsciidocFX/,3,0,0,0,3,0,0,0,0,https://www.github.com/asciidocfx/AsciidocFX/tree/master/conf/cheatsheet/images/uml-diagram.png
asciidocfx/AsciidocFX,1716.0,http://github.com/asciidocfx/AsciidocFX/,3,0,0,0,3,0,0,0,0,https://www.github.com/asciidocfx/AsciidocFX/tree/master/images/uml-example.png
clinical-meteor/cookbook,1675.0,http://github.com/clinical-meteor/cookbook/,1,0,0,0,1,0,0,0,0,https://www.github.com/clinical-meteor/cookbook/tree/master/images/MeteorMicroserviceArchitecture.png
LibrePCB/LibrePCB,1645.0,http://github.com/LibrePCB/LibrePCB/,4,0,0,4,0,0,0,0,0,https://www.github.com/LibrePCB/LibrePCB/tree/master/dev/diagrams/svg/classdiagram_common.svg
LibrePCB/LibrePCB,1645.0,http://github.com/LibrePCB/LibrePCB/,4,0,0,4,0,0,0,0,0,https://www.github.com/LibrePCB/LibrePCB/tree/master/dev/diagrams/svg/classdiagram_library_editor.svg
LibrePCB/LibrePCB,1645.0,http://github.com/LibrePCB/LibrePCB/,4,0,0,4,0,0,0,0,0,https://www.github.com/LibrePCB/LibrePCB/tree/master/dev/diagrams/svg/classdiagram_overview.svg
LibrePCB/LibrePCB,1645.0,http://github.com/LibrePCB/LibrePCB/,4,0,0,4,0,0,0,0,0,https://www.github.com/LibrePCB/LibrePCB/tree/master/dev/diagrams/svg/classdiagram_project.svg
apache/poi,1599.0,http://github.com/apache/poi/,1,0,1,0,0,0,0,0,0,https://www.github.com/apache/poi/tree/trunk/src/models/poi.xmi
OctoMap/octomap,1588.0,http://github.com/OctoMap/octomap/,1,0,0,0,1,0,0,0,0,https://www.github.com/OctoMap/octomap/tree/master/octomap/share/images/uml_overview.png
auchenberg/chrome-devtools-app,1564.0,http://github.com/auchenberg/chrome-devtools-app/,1,0,0,0,1,0,0,0,0,https://www.github.com/auchenberg/chrome-devtools-app/tree/master/app/devtools/front_end/Images/responsiveDesign_2x.png
eProsima/Fast-RTPS,1528.0,http://github.com/eProsima/Fast-RTPS/,2,0,0,0,2,0,0,0,0,https://www.github.com/eProsima/Fast-RTPS/tree/master/utils/doxygen/pages/general_architecture.png
