Project,Last_Activity,Contributors,Stargazers,Graphic_Files,Graphic_Files_Length
Stefku/intellij-reference-diagram/,2024-11-14 12:13:33+00:00,3.0,108.0,"['doc/ExampleDiagram_ch.docksnet.app.MainClass.png', 'doc/Example_show_cluster_count.png', 'doc/coupling_through_OtherReferences_tool_window.png', 'doc/settings_default_categories.png', 'doc/show_path_between_nodes.gif', 'test/Example_InnerClasses.png']",6
apache/activemq-artemis/,2024-11-14 17:11:19+00:00,30.0,947.0,"['artemis-hawtio/activemq-branding/src/main/webapp/plugin/img/activemq.png', 'artemis-hawtio/activemq-branding/src/main/webapp/plugin/img/checkbox-background-checked.png', 'artemis-hawtio/activemq-branding/src/main/webapp/plugin/img/checkbox-background-hover.png', 'artemis-hawtio/activemq-branding/src/main/webapp/plugin/img/checkbox-background.png', 'artemis-hawtio/activemq-branding/src/main/webapp/plugin/img/favicon.png', 'artemis-hawtio/activemq-branding/src/main/webapp/plugin/img/input-background.png', 'artemis-hawtio/activemq-branding/src/main/webapp/plugin/img/login-screen-background.png', 'artemis-hawtio/activemq-branding/src/main/webapp/plugin/img/login-screen-logo.png', 'artemis-hawtio/artemis-console/src/main/webapp/img/img_avatar.svg', 'docs/hacking-guide/images/favicon.png', 'docs/migration-guide/images/favicon.png', 'docs/resources/font-awesome/fonts/fontawesome-webfont.svg', 'docs/user-manual/_diagrams/anycast.svg', 'docs/user-manual/_diagrams/envelope.svg', 'docs/user-manual/_diagrams/multicast.svg', 'docs/user-manual/_diagrams/queue.svg', 'docs/user-manual/images/30K.png', 'docs/user-manual/images/90K.png', 'docs/user-manual/images/activemq-logo.png', 'docs/user-manual/images/anycast.png', 'docs/user-manual/images/architecture1.jpg', 'docs/user-manual/images/architecture2.jpg', 'docs/user-manual/images/architecture3.jpg', 'docs/user-manual/images/broker-connection-DR.jpg', 'docs/user-manual/images/broker-connection-failover.jpg', 'docs/user-manual/images/connection_router_workflow.png', 'docs/user-manual/images/console-artemis-plugin.png', 'docs/user-manual/images/console-login.png', 'docs/user-manual/images/favicon.png', 'docs/user-manual/images/federated-queue-symmetric.gif', 'docs/user-manual/images/federated-queue-symmetric.png', 'docs/user-manual/images/federated-queue.gif', 'docs/user-manual/images/federated-world-wide-mesh.png', 'docs/user-manual/images/federation-address-complete-graph.png', 'docs/user-manual/images/federation-address-fan-out.png', 'docs/user-manual/images/federation-address-ring.png', 'docs/user-manual/images/federation-address-symetric.png', 'docs/user-manual/images/federation-address.png', 'docs/user-manual/images/ha-colocated.png', 'docs/user-manual/images/ha-replicated-store.png', 'docs/user-manual/images/ha-scaledown.png', 'docs/user-manual/images/ha-shared-store.png', 'docs/user-manual/images/hot_test.png', 'docs/user-manual/images/management_api_redirect_sequence.png', 'docs/user-manual/images/multicast.png', 'docs/user-manual/images/native_redirect_sequence.png', 'docs/user-manual/images/replay-method.png', 'docs/user-manual/images/test.png']",48
AbelianGroupInc/LmInterpreter/,2024-03-28 23:08:29+00:00,2.0,1.0,['UmlDiagram/UmCompiler_UML/UmCompiler_UML/ModelDefinition/UmCompiler_UML.uml'],1
sountex/COPTD/,2024-07-02 07:47:54+00:00,1.0,19.0,"['Assets/Art/ElvenKeep03.png', 'Assets/Art/ElvenWatchTower01.png', 'Assets/Art/ElvenWatchTower02.png', 'Assets/Art/ElvenWatchTower03.png', 'Assets/Art/GrassTile01.jpg', 'Assets/Art/RoadTile01.jpg', 'Assets/Art/RoadTile02.jpg', 'Assets/Art/snowman.png', 'Assets/UnityTestTools/Common/Editor/icons/create-darktheme.png', 'Assets/UnityTestTools/Common/Editor/icons/create-lighttheme.png', 'Assets/UnityTestTools/Common/Editor/icons/failed.png', 'Assets/UnityTestTools/Common/Editor/icons/ignored.png', 'Assets/UnityTestTools/Common/Editor/icons/inconclusive.png', 'Assets/UnityTestTools/Common/Editor/icons/normal.png', 'Assets/UnityTestTools/Common/Editor/icons/options-darktheme.png', 'Assets/UnityTestTools/Common/Editor/icons/options-lighttheme.png', 'Assets/UnityTestTools/Common/Editor/icons/passed.png', 'Assets/UnityTestTools/Common/Editor/icons/play-darktheme.png', 'Assets/UnityTestTools/Common/Editor/icons/play-lighttheme.png', 'Assets/UnityTestTools/Common/Editor/icons/play_selected-darktheme.png', 'Assets/UnityTestTools/Common/Editor/icons/play_selected-lighttheme.png', 'Assets/UnityTestTools/Common/Editor/icons/rerun-darktheme.png', 'Assets/UnityTestTools/Common/Editor/icons/rerun-lighttheme.png', 'Assets/UnityTestTools/Common/Editor/icons/stopwatch.png', 'Assets/UnityTestTools/IntegrationTestsFramework/TestingAssets/green.png', 'Assets/UnityTestTools/IntegrationTestsFramework/TestingAssets/red.png', 'TDModelingProject/ModelDefinition/TDModelingProject.uml']",27
chmduquesne/blog/,2024-08-24 22:54:14+00:00,1.0,2.0,"['blog.chmd.fr/images/belgium_trip.jpg', 'blog.chmd.fr/images/belgium_trip.resized.jpg', 'blog.chmd.fr/images/debian-entropie.jpg', 'blog.chmd.fr/images/dunst-insecure.png', 'blog.chmd.fr/images/dunst.png', 'blog.chmd.fr/images/favicon.gif', 'blog.chmd.fr/images/gent_barbier.jpg', 'blog.chmd.fr/images/grand_maitre_rochefort.jpg', 'blog.chmd.fr/images/nautilus-actions-1.png', 'blog.chmd.fr/images/nautilus-actions-2.png', 'blog.chmd.fr/images/rochefort.jpg', 'blog.chmd.fr/images/screenshot_recursif.png', 'blog.chmd.fr/images/screenshot_recursif.thumbnail.png', 'blog.chmd.fr/images/tinytinyrss_button.png', 'blog.chmd.fr/images/tinytinyrss_popup1.png', 'blog.chmd.fr/images/tinytinyrss_popup2.png', 'blog.chmd.fr/images/uml_dia.png', 'blog.chmd.fr/images/vimperator_button.png', 'blog.chmd.fr/images/weee.gif', 'blog.chmd.fr/images/weee_inverted.gif', 'blog.chmd.fr/images/westvleteren.jpg', 'source/images/belgium_trip.jpg', 'source/images/belgium_trip.resized.jpg', 'source/images/debian-entropie.jpg', 'source/images/favicon.gif', 'source/images/gent_barbier.jpg', 'source/images/grand_maitre_rochefort.jpg', 'source/images/nautilus-actions-1.png', 'source/images/nautilus-actions-2.png', 'source/images/rochefort.jpg', 'source/images/screenshot_recursif.png', 'source/images/screenshot_recursif.thumbnail.png', 'source/images/tinytinyrss_button.png', 'source/images/tinytinyrss_popup1.png', 'source/images/tinytinyrss_popup2.png', 'source/images/uml_dia.png', 'source/images/vimperator_button.png', 'source/images/weee.gif', 'source/images/weee_inverted.gif', 'source/images/westvleteren.jpg']",40
ackepenek/HavayoluSirketSistemi/,2024-03-21 05:08:02+00:00,2.0,3.0,"['domainmodel1.jpg', 'domainmodel2.jpg', 'domainmodel3.jpg', 'odev4/actor-goal-model.jpg', 'odev4/biletsatis.jpg', 'odev4/checkin.jpg', 'odev4/odev-refine/biletsatis-dm.jpg', 'odev4/odev-refine/biletsatis-smd.jpg', 'odev4/odev-refine/biletsatis-ssd.jpg', 'odev4/odev-refine/checkin-dm.jpg', 'odev4/odev-refine/checkin-smd.jpg', 'odev4/odev-refine/checkin-ssd.jpg', 'odev4/odev-refine/ucusekle-ssd.jpg', 'odev4/odev-refine/ucusolusturma-dm.jpg', 'odev4/odev-refine/uçuşekle-smd.jpg', 'odev4/ucusolusturma.jpg', 'odev5/mantıksal-mimari.jpg', 'odev6/bilet-satis-etkileşim.jpg', 'odev6/bilet.jpg', 'odev6/checkin.jpg', 'odev7/classdiagram.jpg', 'odev8/biletsatisEtkilesimRefine.jpg', 'odev8/checkinetkilesinrefine.jpg', 'odev8/persistenceObject.jpg', 'odev8/ucusolusturetkilesimrefine.jpg']",25
Aridane/underwater_map_construction/,2024-10-23 03:50:50+00:00,1.0,7.0,"['charle_description/LaserSonar.xmi', 'gazebo_ros_pkgs/gazebo_plugins/Media/models/chair/images/texture0.jpg', 'gazebo_ros_pkgs/gazebo_plugins/Media/models/chair/images/texture1.jpg', 'gazebo_ros_pkgs/gazebo_ros_pkgs/documentation/gazebo_ros_api.png', 'gazebo_ros_pkgs/gazebo_ros_pkgs/documentation/gazebo_ros_transmission.png']",5
bestplay9384/LTE-Sim-Simulator/,2024-03-16 15:53:15+00:00,1.0,0.0,"['DOC/lte-sim-web.png', 'DOC/uml.png']",2
atoader/HilbertRTree/,2024-08-27 02:06:41+00:00,1.0,31.0,"['doc/Report/img/ClassDiagram.png', 'doc/Report/img/Hilbert2.png', 'doc/Report/img/Hilbert6.png', 'doc/Report/img/HilbertOrdering.png', 'doc/Report/img/cube2d.png', 'doc/Report/img/cube3d.png', 'doc/Report/img/cube4d.png', 'doc/Report/img/cube5d.png', 'doc/Report/img/cube6d.png', 'doc/Report/img/insert2d.png', 'doc/Report/img/insert3d.png', 'doc/Report/img/insert4d.png', 'doc/Report/img/insert5d.png', 'doc/Report/img/insert6d.png', 'doc/Report/img/point2d.png', 'doc/Report/img/point3d.png', 'doc/Report/img/point4d.png', 'doc/Report/img/point5d.png', 'doc/Report/img/point6d.png', 'doc/Report/img/range2d.png', 'doc/Report/img/range3d.png', 'doc/Report/img/range4d.png', 'doc/Report/img/range5d.png', 'doc/Report/img/range6d.png', 'doc/Report/img/search1.png', 'doc/Report/img/search2.png', 'doc/Report/img/tiling.png']",27
berlinbrown/openbotlist/,2024-08-17 22:11:57+00:00,1.0,2.0,"['botlist/company/images/BoxLogoNew.jpg', 'botlist/company/images/BoxLogoSmall.jpg', 'botlist/company/images/BoxLogoVertical1.jpg', 'botlist/company/images/BoxLogoVertical2.jpg', 'botlist/company/images/BoxLogoVertical3.jpg', 'botlist/company/images/about_fish_tank.jpg', 'botlist/company/images/building_orange_roof.jpg', 'botlist/company/images/creative_logo.gif', 'botlist/company/images/external_link.gif', 'botlist/company/images/grey_gradient.jpeg', 'botlist/company/images/grey_gradient_less.jpeg', 'botlist/company/images/grey_gradient_more.jpeg', 'botlist/company/images/grey_gradient_small.jpeg', 'botlist/company/images/help/help_botlist02.jpg', 'botlist/company/images/help/help_botlistmain.jpg', 'botlist/company/images/help/help_botverse01.jpg', 'botlist/company/images/icons/add.png', 'botlist/company/images/icons/delete.png', 'botlist/company/images/rails.png', 'botlist/company/images/red_car_smallb.jpg', 'botlist/company/images/rss.gif', 'botlist/company/images/small_folder_link.gif', 'botlist/company/images/white_machine_thing.jpg', 'botlist/docs/enterprise/UserLinks.png', 'botlist/docs/enterprise/UserLinks.xmi', 'botlist/docs/enterprise/static/ListAllPages_July@007_files/arrow.gif', 'botlist/docs/enterprise/static/ListAllPages_July@007_files/fullpage.gif', 'botlist/docs/enterprise/static/ListAllPages_July@007_files/gif_1.gif', 'botlist/docs/enterprise/static/ListAllPages_July@007_files/go.gif', 'botlist/docs/enterprise/static/ListAllPages_July@007_files/maximize.gif', 'botlist/docs/enterprise/static/ListAllPages_July@007_files/minimize.gif', 'botlist/docs/enterprise/static/ListAllPages_July@007_files/minus.gif', 'botlist/docs/enterprise/static/ListAllPages_July@007_files/panminus.gif', 'botlist/docs/enterprise/static/ListAllPages_July@007_files/panplus.gif', 'botlist/docs/enterprise/static/ListAllPages_July@007_files/plus.gif', 'botlist/docs/enterprise/static/ListAllPages_July@007_files/tick-foc.gif', 'botlist/docs/enterprise/static/ListAllPages_July@007_files/tick-off.gif', 'botlist/docs/enterprise/static/ListAllPages_July@007_files/tick-on.gif', 'botlist/docs/enterprise/static/ListAllPages_July@007_files/toc.gif', 'botlist/docs/enterprise/static/ListAllPages_July@007_files/toc2.gif', 'botlist/docs/enterprise/system_feeds/SystemFeedItems.png', 'botlist/docs/enterprise/system_feeds/SystemFeedItems.xmi', 'botlist/docs/marketing/BotlistDemoAdOne.jpg', 'botlist/docs/marketing/BotlistVerticalDemo002.jpg', 'botlist/docs/media/blist_backend_process.png', 'botlist/docs/media/content/chart_content_01.PNG', 'botlist/docs/media/metrics/set1_april/activity.png', 'botlist/docs/media/metrics/set1_april/activity_day.png', 'botlist/docs/media/metrics/set1_april/activity_time.png', 'botlist/docs/media/metrics/set1_april/bug.png', 'botlist/docs/media/metrics/set1_april/commitscatterauthors.png', 'botlist/docs/media/metrics/set1_april/directories_loc_timeline.png', 'botlist/docs/media/metrics/set1_april/directory_sizes.png', 'botlist/docs/media/metrics/set1_april/file-deleted.png', 'botlist/docs/media/metrics/set1_april/file.png', 'botlist/docs/media/metrics/set1_april/file_count.png', 'botlist/docs/media/metrics/set1_april/file_size.png', 'botlist/docs/media/metrics/set1_april/folder-deleted.png', 'botlist/docs/media/metrics/set1_april/folder.png', 'botlist/docs/media/metrics/set1_april/loc.png', 'botlist/docs/media/metrics/set1_april/loc_small.png', 'botlist/docs/media/metrics/set1_april/locandchurn.png', 'botlist/docs/media/screenshot_botverse_1.png', 'botlist/docs/media/screenshot_google_download.png', 'botlist/docs/media/screenshot_home2.png', 'botlist/docs/media/screenshot_web_inf.png']",66
