repo,stargazers_count
finmath/finmath-lib,418.0
echonest/remix,410.0
jbaron/cats,407.0
frePPLe/frePPLe,396.0
XiaoMi/chronos,396.0
GluuFederation/oxAuth,394.0
kite-sdk/kite,386.0
christophd/citrus,384.0
cloudflare/gokeyless,383.0
DEVSENSE/Phalanger,382.0
gdisf/teaching-materials,375.0
qiniu/cerl,373.0
grzesiek-galezowski/tdd-ebook,346.0
kamilfb/mqtt-spy,345.0
neuroph/neuroph,344.0
LogtalkDotOrg/logtalk3,343.0
vogellacompany/vogella,340.0
Chinchilla-Software-Com/CQRS,337.0
jhipster/jhipster.github.io,335.0
FamilySearch/gedcomx,326.0
newton-software/devil,325.0
arcemu/arcemu,322.0
isc-projects/kea,322.0
GNOME/dia,317.0
asciidoctor/asciidoctor.org,310.0
benlau/quickflux,309.0
hak5/lanturtle-wiki,306.0
ocpi/ocpi,304.0
ObeoNetwork/UML-Designer,304.0
suavecode/SUAVE,301.0
AGProjects/python-sipsimple,300.0
mck-/Open-VRP,297.0
UnboundID/ldapsdk,294.0
rstropek/Samples,290.0
tsantalis/RefactoringMiner,289.0
Ultimaker/Uranium,288.0
SparklineData/spark-druid-olap,287.0
ColdBox/coldbox-platform,283.0
imixs/imixs-workflow,280.0
tourdedave/elemental-selenium-tips,279.0
xen2/SharpLang,274.0
arey/java-object-mapper-benchmark,274.0
LibrePlan/libreplan,268.0
imglib/imglib2,267.0
gaochundong/Gimela,264.0
websauna/websauna,264.0
Unidata/thredds,261.0
OpenDSA/OpenDSA,261.0
jhipster/jhipster-uml,260.0
kanzure/nanoengineer,256.0
bing-jian/gmmreg,254.0
marmelab/javascript-boilerplate,254.0
brian-j-smith/Mamba.jl,252.0
geeeeeeeeek/IntelligentChineseChessSystem,252.0
mmezzavilla/ns3-mmwave,251.0
abulka/pynsource,250.0
infinidb/infinidb,246.0
statismo/statismo,244.0
googlei18n/google-input-tools,241.0
highperformancecoder/minsky,241.0
RestComm/RestComm-Core,239.0
RestComm/Restcomm-Connect,239.0
elmsln/elmsln,233.0
benlau/quickandroid,232.0
virgo47/restful-spring-security,230.0
smartdevicelink/sdl_core,228.0
RestComm/sip-servlets,227.0
XiaoMi/themis,226.0
Crazepony/crazepony-gitbook,225.0
eclipse/cdt,220.0
umple/umple,219.0
cheyiliu/All-in-One,219.0
radkovo/CSSBox,217.0
mbeddr/mbeddr.core,217.0
codefollower/Open-Source-Research,215.0
appirio-tech/topcoder-UML-Tool,213.0
resibots/limbo,213.0
javipalanca/spade,213.0
christianalfoni/EmptyBox,211.0
sones/sones,210.0
saltstack/raet,209.0
erlide/erlide,205.0
JMRI/JMRI,205.0
estatio/estatio,203.0
MyRobotLab/myrobotlab,201.0
coast-team/netflux,201.0
garymcleanhall/AdaptiveCode,200.0
ElektraInitiative/libelektra,189.0
sebastianbergmann/phpunit-documentation,187.0
joaompneves/tsviz,186.0
SpoonLabs/astor,185.0
nightingale-media-player/nightingale-hacking,183.0
eclipse/org.aspectj,182.0
nelsonomuto/angular-ui-form-validation,182.0
pradosoft/prado,180.0
PX4/Devguide,180.0
cliqz-oss/keyvi,178.0
samchen2009/android_uml,177.0
jakobwesthoff/phuml,176.0
Star2Billing/a2billing,175.0
lgatto/TeachingMaterial,174.0
locationtech/udig-platform,173.0
MozillaSecurity/FuzzManager,172.0
Parrot-Developers/Samples,170.0
apache/batik,170.0
adityaapte/CERR,170.0
dissemin/dissemin,166.0
K-3D/k3d,165.0
hushnymous/android_frameworks_base,165.0
HPI-Information-Systems/Metanome,164.0
wwivbbs/wwiv,157.0
RestComm/jss7,157.0
Protocoder/Protocoder,157.0
apache/incubator-myriad,156.0
python-fedex-devs/python-fedex,154.0
xfce-mirror/thunar,153.0
osgi/design,152.0
davidrea/Deacon,150.0
buke/openerp-doc,149.0
LLNL/conduit,148.0
animatedb/oovaide,147.0
Graylog2/documentation,147.0
wmde/FundraisingFrontend,146.0
tine20/Tine-2.0-Open-Source-Groupware-and-CRM,144.0
manoelcampos/Retorno-BoletoPHP,144.0
w3c/push-api,142.0
jpdias/botnet-lab,141.0
huxi/sulky,141.0
kmadac/bitstamp-python-client,141.0
mquinson/simgrid,141.0
savoirfairelinux/ring-daemon,138.0
Unidata/awips2,137.0
siconos/siconos,136.0
greearb/xorp.ct,135.0
bruceoutdoors/Intro-Design-Patterns-Cpp-Qt5,134.0
bundy-dns/bundy,132.0
PCreations/RESTDroid,131.0
shopware/devdocs,130.0
lab11/polypoint,130.0
varnish/zipnish,129.0
acmeair/acmeair,129.0
matortheeternal/smash,128.0
google/mysql-protobuf,128.0
oliverklee/pixy,126.0
herzbube/littlego,125.0
RestComm/jain-sip,125.0
uin3566/GoBang,125.0
metawidget/metawidget,121.0
henryyan/henryyan.github.com,120.0
aarondunn/bugkick,120.0
benmfaul/XRTB,119.0
conceptdev/xamarin-samples,119.0
hortonworks/kubernetes-yarn,118.0
ricedsp/rwt,118.0
wazuh/wazuh-documentation,118.0
starviewer-medical/starviewer,117.0
lagodiuk/genetic-algorithm,117.0
mhoeher/opentodolist,117.0
cathywu/Sentiment-Analysis,116.0
Ortus-Solutions/ContentBox,116.0
deanwampler/Presentations,116.0
SonarSource/sonar-maven,116.0
mipt-cs-on-python3/course-site,116.0
strongloop/strong-arc,114.0
ploeh/ploeh.github.com,114.0
narayananpalani/testautomation,113.0
gccxml/pygccxml,113.0
LIFX/lifx-protocol-docs,113.0
oxnz/design-patterns,113.0
StuartGordonReid/r4nd0m,113.0
mongodb-js/mongodb-schema,113.0
dandelion/dandelion-datatables,110.0
rose-compiler/rose-develop,110.0
KDE/marble,110.0
javaor/HelloSSM,109.0
uwescience/myria,108.0
lkrnac/book-eiws-code-samples,107.0
opengovplatform/opengovplatform-beta,107.0
clbustos/PHP_Beautifier,106.0
exelearning/iteexe,106.0
nyankosama/simple-netty-source,106.0
omnirom/android_frameworks_base,105.0
Qafoo/review,105.0
kallaspriit/Cassandra-PHP-Client-Library,104.0
ehsan/ogre,104.0
gsjaardema/seacas,103.0
gotthardp/gen_coap,103.0
alibaba/TrafficServer,103.0
lycis/QtDropbox,103.0
baidu/broc,102.0
PixelLightFoundation/pixellight,102.0
symfony/symfony1-docs,101.0
frgomes/jquantlib,100.0
ControlSystemStudio/cs-studio,100.0
AOSPA/android_frameworks_base,100.0
iocast/featureserver,100.0
CIRCL/bgp-ranking,99.0
coocox/cox,98.0
Stefku/intellij-reference-diagram,98.0
wimleers/sudoku,95.0
anycmd/anycmd,95.0
theforeman/hammer-cli,94.0
SINTEF-9012/ThingML,94.0
AOKP/frameworks_base_disabled,94.0
SciAid/SciAid_desktop,93.0
Vaa3D/vaa3d_tools,92.0
Particular/docs.particular.net,92.0
KDE/umbrello,91.0
BKcore/JungleIN,91.0
Mach-II/Mach-II-Framework,91.0
Gp2mv3/Syntheses,90.0
stephanhoekstra/clean-architecture,89.0
mxunit/mxunit,89.0
expert0226/oopinspring,88.0
juzu/juzu,88.0
jmolloy/pedigree,88.0
form-o-fill/form-o-fill-chrome-extension,87.0
houyhea/winform-control-lib,87.0
ganga-devs/ganga,86.0
GeertBellekens/Enterprise-Architect-Toolpack,86.0
tk-codes/uno,85.0
Signiant/CruiseControl,83.0
modelab/grasshopper-primer,83.0
scikit-beam/scikit-beam,83.0
InteractiveAdvertisingBureau/openvv,82.0
abego/treelayout,82.0
jetty-project/jetty-documentation,80.0
lornshrimp/Lorn.ADSP,80.0
opengovplatform/opengovplatform-alpha,80.0
nHydrate/nHydrate,79.0
the-butterfly-effect/tbe,79.0
ghillert/botanic-ng,79.0
Starlink/starjava,79.0
AnalogDevicesLyricLabs/dimple,78.0
copasi/COPASI,78.0
bertiniteam/b2,78.0
ATLANTBH/jmeter-components,78.0
w3c/data-shapes,78.0
oVirt/ovirt-site,78.0
Financial-Times/ft-origami,77.0
lotem/rime-gits,77.0
CamHenlin/roguish,77.0
UESTC-ACM/CDOJ,76.0
planetruby/gems,76.0
KDE/wacomtablet,76.0
stoyanr/Evictor,75.0
the-virtual-brain/tvb-library,75.0
eclipse/titan.core,73.0
protoman/rockbot,73.0
OpenMediaVault-Plugin-Developers/openmediavault-zfs,72.0
PeterLuschny/Fast-Factorial-Functions,72.0
dsheiko/HTML5-Form-Shim,71.0
crdroidandroid/android_frameworks_base,71.0
GourdErwa/MyNote,71.0
pipelka/roboTV,71.0
slebok/zoo,71.0
InternalError503/cyberfox,70.0
hotchk155/arpie,70.0
grettke/home,70.0
audioscience/avdecc-lib,70.0
projeto-siga/siga,69.0
hongyangAndroid/Android-HyViewInject,68.0
Biomechanical-ToolKit/BTKCore,67.0
shigeki/node-class-diagram,67.0
algaworks/curso-jpa-hibernate,67.0
rdfjs/representation-task-force,67.0
openstreetmap/josm-plugins,67.0
eclipse/nebula,67.0
wso2/charon,66.0
laugga/FieldKit,66.0
OpenMap-java/openmap,65.0
gabrielaimeeg/DroidMetronome,65.0
amiq-consulting/svaunit,65.0
mkalus/segrada,65.0
ruediste/btrbck,64.0
radif/SIPHON-SIP-Client-that-actually-compiles,64.0
strangeloop/StrangeLoop2015,64.0
telldus/telldus,64.0
payola/Payola,63.0
TheAnswer/Core3,63.0
PublicMapping/DistrictBuilder,63.0
DBCG/Dataphor,62.0
MvvmFx/MvvmFx,62.0
carloslfu/blocklify,62.0
rolfvreijdenberger/izzum-statemachine,62.0
NextGenTel/akka-tools,62.0
UmSenhorQualquer/pythonVideoAnnotator,62.0
desenvolvimentoagilcombr/desenvolvimentoagilcombr.github.com,61.0
nplant/nplant,61.0
OpenNTF/org.openntf.domino,61.0
Potion/Cinder-poScene,61.0
riscv/riscv-poky,61.0
eyjian/mooon,61.0
droidstealth/droid-stealth,61.0
JoseJimeniz/scrypt-for-delphi,61.0
llaville/php-reflect,60.0
GeoscienceAustralia/earthsci,60.0
stcarrez/ada-util,60.0
outsideris/learning-spring,59.0
algaworks/curso-fundamentos-java-e-orientacao-a-objetos,59.0
abel533/spring-framework-reference,58.0
taichi/umlbot,58.0
nodoherty/ColdFusion-Koans,58.0
googlemaps/js-v2-samples,58.0
coin-or/GrUMPy,58.0
tracecompass/tracecompass,57.0
purescript/purescript-control,57.0
SINTEFMedtek/CustusX,57.0
techdivision/TechDivision_MagentoUnitTesting,57.0
HenrikSamuelsson/Introduction_to_Java_Programming,57.0
telefonicaid/fiware-cygnus,57.0
redomar/JavaGame,57.0
avdi/alter-ego,57.0
NsLib/FreeJudger,57.0
google/libgep,56.0
simoc/csvjdbc,56.0
jbush001/NyuziToolchain,56.0
ObeoNetwork/InformationSystem,56.0
sebastianrahtz/oxgarage,55.0
pmbuko/KerbMinder,55.0
genworks/gendl,55.0
mvolkmann/Clojure-Article,54.0
NickCraver/nickcraver.github.com,54.0
nhnent/tui.component.colorpicker,54.0
WachterJud/qaul.net_legacy,54.0
lawrancej/CompilerKit,54.0
ISO-TC211/UML-Best-Practices,53.0
ModelDriven/fUML-Reference-Implementation,53.0
bombmanual/bombmanual.github.io,52.0
mozilla-services/android-sync,52.0
qiankunli/qiankunli.github.io,52.0
chakrit/pjsip,52.0
DamCB/tyssue,52.0
Fannon/svg-generator,52.0
wtayyeb/draw.io,51.0
llaville/umlwriter,51.0
mubix/tools,51.0
ducin/piet,50.0
javaConductor/gserv,50.0
uhhpctools/openuh,50.0
aegif/NemakiWare,50.0
shurcooL/eX0,50.0
opengds/OpenGDS,49.0
cacheonix/cacheonix-core,49.0
tarbrain/TBStateMachine,49.0
RJ/playdar,49.0
opendaylight/docs,49.0
hardware/ObjectViewer,48.0
sghiassy/Code-Reading-Book,48.0
docktor/docktor,47.0
liammcinroy/ConvolutionalNeuralNetwork,47.0
j4n0/callout,47.0
lestard/EasyDI,47.0
RSATom/Qt,47.0
LucidDB/luciddb,47.0
antgerasim/NLayerAppV2,47.0
blackberry/BB10-WebWorks-Community-Samples,46.0
germaaan/trabajos_universidad,46.0
cloudfoundry-attic/cf-docs,46.0
signove/antidote,46.0
paulnguyen/cmpe202,46.0
php/presentations,45.0
stevenalexander/docker-authentication-authorisation,45.0
markmandel/ColdDoc,45.0
Project-64/reloaded,45.0
dkd/plantuml,45.0
apache/zetacomponents,44.0
symfony-cmf/symfony-cmf-docs,44.0
janfaessler/FHNW-Informatik-Zusammenfassungen,44.0
ingadhoc/odoo-etl,44.0
101companies/101repo,44.0
jenkinsci/testlink-plugin,44.0
roban/CosmoloPy,44.0
grettke/help,44.0
unidal/maven-plugins,43.0
openstack/storlets,43.0
Dexesttp/hkxpack,43.0
cflowe/ACE,43.0
mateuszbaran/ECG-analyzer,42.0
oar-team/oar,42.0
veny/orientdb4r,42.0
RebelCMS/rebelcmsxu5,42.0
kbilsted/CodeQualityAndReadability,42.0
lucasjellema/soasuitehandbook,42.0
ImpalaToGo/ImpalaToGo,42.0
lab2023/kebab-project,42.0
spiral/guide,41.0
GaloisInc/hacrypto,41.0
uzh/gc3pie,41.0
EiffelSoftware/EiffelStudio,41.0
Microsoft/solitaire-wp,41.0
maufl/quic_toy,41.0
cloudfoundry/docs-cloudfoundry-concepts,40.0
psexton/matlab-xunit,40.0
gpeipman/Visual-Studio-Experiments,40.0
terasolunaorg/terasolunaorg.github.com,40.0
SlimRoms/frameworks_base,40.0
lvklabs/chatbot,40.0
seba--/sugarj,40.0
UMWRG/pynsim,40.0
gvSIGAssociation/gvnix,40.0
cloudfoundry/docs-dev-guide,39.0
s2team/votesapp,39.0
paulnguyen/cmpe281,39.0
h3rald/h3rald,39.0
drupalcommerce/commerce-docs,39.0
gocd/gocd.github.io,39.0
BHITS/Consent2Share,39.0
Ocramius/ocramius.github.com,39.0
WangJunTYTL/task,39.0
redhat-openstack/openstack-puppet-modules,39.0
vicrucann/dura-europos-insitu,39.0
megadotnet/ironframework,38.0
portmobile/LAGP-Example-Code,38.0
cornerstonewdk/cornerstone-framework,38.0
philborlin/CSSBox,38.0
JPLOpenSource/SCA,38.0
nasa/RtRetrievalFramework,38.0
StaMa-StateMachine/StaMa,38.0
squaremo/rabbitmq-streams,38.0
apache/clerezza,38.0
hogeschool/INFDEV02-1,37.0
UrsZeidler/uml2solidity,37.0
nemo-ufes/ontouml-lightweight-editor,37.0
longkerdandy/mithqtt,37.0
jeanleflambeur/silkopter,37.0
lbayle/codev,37.0
henry-ch/asynchronous,37.0
eucalyptus/architecture,37.0
damarquezg/rtslam,36.0
ricardojlrufino/cplus-libparser,36.0
telefonicaid/notification_server,36.0
GDSSecurity/burpee,36.0
GeniusesOfSymfony/NotificationBundle,36.0
badqiu/rapid-framework,36.0
NCIP/annotation-and-image-markup,36.0
sillsdev/libpalaso,36.0
wangkuiwu/wangkuiwu.github.io,36.0
droolsjbpm/kie-docs,35.0
jeroendoggen/Arduino-distance-sensor-library,35.0
danceos/fail,35.0
openstack/smaug,35.0
openconnect/protocol,35.0
mdht/mdht,35.0
WICG/paymentrequest,34.0
ga4gh/mme-apis,34.0
incf-nidash/nidm,34.0
crowdcode-de/KissMDA,34.0
mkfifo/icarus,34.0
santanche/java2learn,34.0
coinfloor/API,34.0
delapuente/presentations,34.0
mozilla/webrtc,34.0
quasar-team/quasar,34.0
Kreogist/Cuties,34.0
RestComm/sipunit,34.0
electron128/RetroShare-Android-Client,33.0
virtix/mxunit,33.0
havlenapetr/android_frameworks_base,33.0
hawkular/hawkular-datamining,33.0
JeffreyWei/PatternViaJava,33.0
Microsoft/real-time-filter-demo,33.0
javto/Tribler-streaming,33.0
d-cent/stonecutter,33.0
mementoweb/timegate,33.0
juanmf/RedmineIssueImporter,33.0
apache/incubator-commonsrdf,33.0
jfarr/spring-mvc-examples,32.0
coin-or/GiMPy,32.0
IIC2233-2016-1/syllabus,32.0
johnhaddon/gafferDependencies,32.0
edwardcrichton/BToolkit,32.0
GiGatR00n/Aion-Core-v4.7.5,32.0
SpineEventEngine/core-java,32.0
UWB-Biocomputing/BrainGrid,32.0
mobilesec/android-ubertooth-btle-sniffing,32.0
stefanoborini/modelviewcontroller-src,32.0
clem1/segvault,31.0
mongodb-js/mongodb-language-model,31.0
LexHsu/Summary,31.0
tclark/op-papers,31.0
Microsoft/nfc-talk,31.0
parallaxinc/propgcc,31.0
ObeoNetwork/SysML-Designer,31.0
stanislav-web/phalcon-sms-factory,31.0
Microsoft/nfc-ndef-tag-reader,31.0
openETCS/modeling,30.0
GMOD/Chado,30.0
marciniwanicki/OCGoogleDirectionsAPI,30.0
stateforge/StateBuilder,30.0
haiku/buildtools,30.0
victorsndvg/FPL,30.0
adngdb/fightly-game-engine,30.0
sipXtapi/sipXtapi,30.0
tupilabs/tap4j,30.0
wooknight/phpcallgraph,30.0
andreaswolf/oryx-editor,30.0
codekiddy2/Visual-Studio-gtkmm,30.0
Suprcode/mir3,30.0
sungsoo/sungsoo.github.com,30.0
tyll/tinyos-2.x-contrib,30.0
rvs-fluid-it/wizard-in-a-box,30.0
michipili/blueprint,30.0
souch/SMP,29.0
clickberry/video-portal,29.0
danblakemore/universal-indent-gui,29.0
edaplayground/eda-playground,29.0
malkiah/NetworkSimulator,29.0
Robbbert/messui,29.0
leerichardson/game_simulation,29.0
hawtio/hawtio-integration,29.0
timmwagener/tw_cloth_solver,29.0
shivajid/atlas,29.0
proyectoalba/alba,29.0
afronski/playground-notes,29.0
mvp4g/mvp4g,29.0
OpenNetworkingFoundation/CENTENNIAL,29.0
rohangoel96/PlantsVsZombies-Game,29.0
docutils/docutils,28.0
gustavosotnas/avd-launcher,28.0
howardabrams/pdx-emacs-hackers,28.0
MilanSuk/BulletSOP,28.0
codependent/storyteller-microservices,28.0
ACS-Community/ACS,28.0
r7kamura/r7kamura.github.io,28.0
sebnil/Sketchy-Truck,28.0
eckucukoglu/cengball,28.0
Jajcus/pyxmpp,28.0
TeamDev-Ltd/OpenFaces,28.0
m00re/ns-3-stdma,28.0
ObeoNetwork/UML-Java-Generation,28.0
SeqWare/seqware,28.0
spring-projects/spring-net-amqp,28.0
mw-ferretti/angular-resource-tastypie,28.0
KDE/kdelibs,28.0
jakubnabrdalik/hentai-cloudy-rental,28.0
Heigvd/Wegas,28.0
opendaylight/aaa,27.0
genepattern/genepattern-server,27.0
mech/filemaker-ruby,27.0
kriasoft/site-sdk,27.0
tehtechguy/mHTM,27.0
league1991/Paint3D,27.0
royratcliffe/ActiveResourceKit,27.0
hsyl20/ViperVM,27.0
mozilla/persona-yahoo-bridge,27.0
hdbeukel/james,27.0
dgs700/angularjs-web-component-development,27.0
diethardsteiner/diethardsteiner.github.io,27.0
openstack/tripleo-docs,27.0
natevw/ShutterStem,27.0
uwitec/supermarket-management-system-lx,27.0
xtuml/bridgepoint,27.0
Dissem/Jabit,27.0
cloudify-cosmo/getcloudify.org,26.0
diegotrap/filament_extruder,26.0
KDE/kexi,26.0
carlescliment/curso-symfony2,26.0
Krazy-collection/krazy,26.0
stanislav-web/Searcher,26.0
LumaPictures/pflow,26.0
wildfly-swarm/booker,26.0
couchbase/docs-cb4,26.0
gravitee-io/gravitee-docs,26.0
besley/Plat2012,26.0
TeamSPoon/PrologMUD,26.0
claeis/ili2db,26.0
Marusyk/PatternsProjects,26.0
Theadd/juced,26.0
gxa/atlas,26.0
bachmanm/failure-detectors,26.0
bennychen/moai-based-pacman,25.0
Microsoft/real-time-blend-demo,25.0
BYU-NLP-Lab/topicalguide,25.0
ModelDriven/Alf-Reference-Implementation,25.0
Microsoft/map-explorer,25.0
cstb/ifc2x3-SDK,25.0
HUSACCT/HUSACCT,25.0
Microsoft/photo-inspector,25.0
metamorph-inc/meta-core,25.0
Open-Transport/synthese,25.0
threetee/ruote-rails-example,25.0
beranradek/formio,25.0
koistya/Blackjack,25.0
Microsoft/sudokumaster-wp,25.0
lip6-mptcp/ns3mptcp,25.0
lispgames/perfectstorm,25.0
FrederikDiehl/apsis,25.0
jiowchern/Regulus,24.0
liuguangli/AndroidFileDownloaderDemo,24.0
bugkillerz/Guava-Event-Bus,24.0
chiggs/UVM,24.0
atoader/HilbertRTree,24.0
mycelial/spore,24.0
tuomas2/automate,24.0
MrCsabaToth/SOEMPI,24.0
jeefuse/jeefuseMDA,24.0
thomas-maeder/popeye,24.0
tonystone/geofeatures,24.0
hkurosu/oauth2-sso-samples,24.0
ezsystems/ezsurvey,24.0
mdht/mdht-models,24.0
mozilla/playdoh-lib,24.0
Robinyo/data-model-patterns,24.0
rjruigrok/HackingScience,23.0
execonline-inc/antivirus,23.0
tpetricek/TomaspNet.Website,23.0
trustathsh/tnc-fhh,23.0
appirio-tech/direct-app,23.0
jjfiv/dalvik-js,23.0
co-ment/comt,23.0
blackberry/OGRE,23.0
SWPUebersetzerbauSS12/swp-uebersetzerbau-ss12,23.0
Microsoft/moto-trial-racer-wp,23.0
droolsjbpm/optaplanner-website,23.0
ishkin/Proton,23.0
dgraziotin/openpomo,23.0
OSGP/Documentation,23.0
Microsoft/camera-explorer,23.0
itsmeront/openqwaq,23.0
EthanAI/Computer-Vision-Lung-Cancer-Detection,23.0
Darkin47/SagaRevised,23.0
petcomputacaoufrgs/hidracpp,22.0
devscola/DesignPatterns,22.0
cyriux/livingdocumentation-thebook,22.0
tamaslang/book-inventory-boot,22.0
openstack/terracotta,22.0
abstratt/cloudfier,22.0
pankona/gomo-simra,22.0
FilipBE/qtextended,22.0
FgForrest/Postfix-Deliverability-Analytics,22.0
ashish1294/PersonalWebsite,22.0
data-tsunami/NodeJS-SocketIO-Redis-Python-Nginx,22.0
gammasoft/fatcow,22.0
iQuarc/Code-Design-Training,22.0
NBT-Analytics/NBTpublic,22.0
Open-MBEE/Comodo,22.0
firebotQL/BookSharing,22.0
fastbird/fastbirdEngine,22.0
info-sharing-environment/NIEM-Modeling-Tool,22.0
paytrue/scaldy,22.0
oazabir/StudentDataBank,22.0
filipwasil/fillwave,22.0
ezsystems/ezcomments,21.0
smartdevicelink/sdl_server,21.0
benfowler/dancing-links,21.0
HelioScan/HelioScan,21.0
dvmartin999/jaustoolset,21.0
jonyfs/credit-card-api,21.0
TelerikAcademy/SchoolAcademy,21.0
juxtapos/Rain,21.0
GestUAB/GestUAB,21.0
jalbersol/plantumlqeditor,21.0
bryantrobbins/baseball,21.0
delftswa/delftswa.github.io,21.0
deruelle/mobicents,21.0
arsf/lag,21.0
ESP-rCommunity/ESP-rSource,21.0
phenopackets/phenopacket-format,21.0
01org/vmf,21.0
ChrisTimperley/Wallace.jl,21.0
Qabel/qabel-core,21.0
esemble/simpy,21.0
Jacksgong/Blog,20.0
ntu-dsi-dcn/ntu-dsi-dcn,20.0
toanqc/familydoctor,20.0
eventh/kpro9,20.0
AppScale/sample-apps,20.0
openEHR/reference-models,20.0
Rafiot/bgp-ranking,20.0
haisamido/GMAT,20.0
remysaissy/examour-exokernel,20.0
athiasjerome/XORCISM,20.0
FrozenCow/wiidevicelibrary,20.0
mietek/mit-cadr-system-software,20.0
webgme/sysml,20.0
Swizec/react-d3js-ebook,20.0
martin-jung-hs/webpack-101,20.0
Microsoft/drumkitx,20.0
alexleutgoeb/WellDone,20.0
nkostelnik/viper,20.0
jeremiedecock/snippets,20.0
rroart/freevms,20.0
abb-iss/SrcML.NET,20.0
symfony-cmf/BlockBundle,20.0
jiukunz/tw-ruby-training,20.0
mbarbon/wapiti,20.0
ragnor-rs/visum,20.0
ShipSoft/FairShip,20.0
plt-tud/r43ples,19.0
johnsonz/android_WaterWave,19.0
lorenzo/workflow,19.0
wgchoi/eccv_indoor,19.0
Pardus-Linux/pisi,19.0
splotchviz/splotch,19.0
shangerxin/BookNotes,19.0
bennadel/MVC-Learning,19.0
GSA/IAE-Architecture,19.0
srgblnch/python-pylon,19.0
inbloom/secure-data-service,19.0
congdongdotnet/GoogleRecaptcha,19.0
rafaelgou/the-phpjs-local-docs-collection,19.0
erijo/xsonrpc,19.0
