repo,stargazers_count
kubernetes/kubernetes,97422.0
spring-projects/spring-framework,51460.0
nodejs/node-v0.x-archive,34567.0
odoo/odoo,28771.0
medcl/elasticsearch-analysis-ik,14989.0
FreeCAD/FreeCAD,13725.0
miloyip/rapidjson,12918.0
Activiti/Activiti,9347.0
mysql/mysql-server,8947.0
Azure/azure-content,8721.0
SonarSource/sonarqube,7660.0
qgis/QGIS,7205.0
apache/jmeter,6917.0
google/lovefield,6844.0
NorthwoodsSoftware/GoJS,6819.0
gocd/gocd,6753.0
android-cn/android-open-project-analysis,6647.0
google/google-api-python-client,6494.0
me115/design_patterns,6255.0
h2oai/h2o-3,6219.0
ldcsaa/HP-Socket,5167.0
accord-net/framework,4355.0
Freeyourgadget/Gadgetbridge,4050.0
biolab/orange3,4039.0
Dolibarr/dolibarr,3932.0
CGAL/cgal,3824.0
phpDocumentor/phpDocumentor2,3810.0
apache/maven,3573.0
code4craft/netty-learning,3479.0
munificent/game-programming-patterns,3462.0
OGRECave/ogre,3235.0
OculusVR/RakNet,3177.0
droolsjbpm/optaplanner,2990.0
core-plot/core-plot,2754.0
saki4510t/UVCCamera,2673.0
qos-ch/logback,2669.0
simple-android-framework/android_design_patterns_analysis,2651.0
textlint/textlint,2551.0
imfly/bitcoin-on-nodejs,2482.0
spring-projects/spring-batch,2342.0
h2oai/h2o-2,2223.0
webpack/react-starter,2221.0
xamarin/monodroid-samples,2194.0
apache/incubator-geode,2190.0
linkedin/gobblin,2121.0
kermitt2/grobid,2060.0
wakaleo/game-of-life,1967.0
unconed/MathBox.js,1935.0
nodejs/node-convergence-archive,1852.0
lsegal/yard,1843.0
asciidocfx/AsciidocFX,1716.0
clinical-meteor/cookbook,1675.0
LibrePCB/LibrePCB,1645.0
apache/poi,1599.0
OctoMap/octomap,1588.0
auchenberg/chrome-devtools-app,1564.0
eProsima/Fast-RTPS,1528.0
pjsip/pjproject,1474.0
dtmilano/AndroidViewClient,1404.0
DynamoDS/Dynamo,1376.0
unknown-horizons/unknown-horizons,1352.0
David-Desmaisons/MVVM.CEF.Glue,1325.0
synrc/n2o,1318.0
henryyan/activiti-in-action-codes,1171.0
rsms/gotalk,1166.0
cpvrlab/ImagePlay,1144.0
objectcomputing/OpenDDS,1105.0
enthought/mayavi,1104.0
godlikepanos/anki-3d-engine,1062.0
GIScience/openrouteservice,1029.0
GIScience/openrouteservice-core,1029.0
sipsorcery/sipsorcery,1023.0
SonarSource/sonar-java,1001.0
boost-experimental/di,998.0
apache/usergrid,995.0
dnnsoftware/Dnn.Platform,935.0
lviggiano/owner,889.0
ElmerCSC/elmerfem,881.0
apache/activemq-artemis,850.0
djeedjay/DebugViewPP,821.0
javalite/activejdbc,819.0
spring-projects/spring-net,801.0
lcm-proj/lcm,800.0
rbei-etas/busmaster,797.0
jenetics/jenetics,768.0
IQSS/dataverse,759.0
apache/isis,756.0
elabftw/elabftw,734.0
csgillespie/efficientR,696.0
schubergphilis/Seccubus_v2,680.0
ampas/aces-dev,677.0
apache/wicket,674.0
apple/swift-clang,673.0
apple/swift-lldb,671.0
jbe2277/waf,660.0
ochrons/diode,646.0
orocrm/platform,624.0
benas/gamehub.io,622.0
code4craft/jsoup-learning,620.0
leancloud/docs,605.0
DOCGroup/ATCD,601.0
UmSenhorQualquer/pyforms,597.0
OAuth-Apis/apis,592.0
lagadic/visp,581.0
libMesh/libmesh,557.0
MITK/MITK,552.0
w3c/aria,548.0
hangum/TadpoleForDBTools,540.0
Splamy/TS3AudioBot,535.0
coreemu/core,533.0
resiprocate/resiprocate,524.0
rose-compiler/rose,520.0
FlingOS/FlingOS,507.0
KangLin/rabbitim,488.0
mbj4668/pyang,487.0
mesosphere/mesos-dns,487.0
lballabio/quantlib-old,476.0
conceptdev/xamarin-forms-samples,471.0
wamp-proto/wamp-proto,450.0
dialex/JCDP,438.0
stritti/log4js,436.0
llvm-mirror/lldb,432.0
timolson/cointrader,427.0
Unidata/netcdf-c,427.0
