Project,Contributors,UML_Files,UML_Files_Count,Lines_of_Code
0003088/libelektra-qt-gui-test/,12.0,"['doc/images/classes.png', 'doc/images/classes_large.png', 'doc/images/state.png']",3,4679395
01org/vmf/,11.0,['docs/design/LLD.uml'],1,1383431
080419android/scheduler/,3.0,['Requirements/080419A - ClassDiagram_v_1_0_0.png'],1,232249
0877624/0877624-0896919-0894785/,3.0,"['DesPat/Content/Life-0.png', 'DesPat/Content/Life-1.png', 'DesPat/Content/Life-2.png', 'DesPat/Content/Life-3.png', 'UML Diagram/ModelDefinition/UML Diagram.uml']",5,66305
09421/Track-A-Bus/,2.0,"['1 - Systemdesign/1 - Ikke-samlede docs/Diagrammer/AktOrkontekst-diagram.jpg', '1 - Systemdesign/1 - Ikke-samlede docs/Diagrammer/Database/MySQL_UML_Diagram.jpg', '1 - Systemdesign/1 - Ikke-samlede docs/Diagrammer/Database/SQLite_UML_Diagram.jpg', '1 - Systemdesign/1 - Ikke-samlede docs/Diagrammer/Klassediagrammer/App_klasseDia.jpg', '1 - Systemdesign/1 - Ikke-samlede docs/Diagrammer/Klassediagrammer/App_klasseDia_models.jpg', '1 - Systemdesign/1 - Ikke-samlede docs/Diagrammer/Klassediagrammer/Hjemmeside_KlasseDia.jpg', '1 - Systemdesign/1 - Ikke-samlede docs/Diagrammer/Klassediagrammer/Simulator_klasseDia.jpg', '1 - Systemdesign/1 - Ikke-samlede docs/Diagrammer/Klassediagrammer/Simulator_klasseDia.png', '1 - Systemdesign/1 - Ikke-samlede docs/Diagrammer/Misc/DeploymentDiagram.jpg', '1 - Systemdesign/1 - Ikke-samlede docs/Diagrammer/Misc/Use_Case_Diagram.jpg', '1 - Systemdesign/1 - Ikke-samlede docs/Diagrammer/Misc/activity_lifecycle.png', '1 - Systemdesign/1 - Ikke-samlede docs/Diagrammer/Sekvensdiagrammer/SimuStartSSD.jpg', '1 - Systemdesign/1 - Ikke-samlede docs/Diagrammer/Sekvensdiagrammer/UC1SSD.jpg', '1 - Systemdesign/1 - Ikke-samlede docs/Diagrammer/Sekvensdiagrammer/UC2SSD.jpg', '1 - Systemdesign/1 - Ikke-samlede docs/Diagrammer/Sekvensdiagrammer/UC3SSD.jpg', '1 - Systemdesign/1 - Ikke-samlede docs/Diagrammer/Sekvensdiagrammer/UC4SSD.jpg', '1 - Systemdesign/3 - 4th/04_Systemdesign/Billeder/DeploymentDiagram.PNG', '1 - Systemdesign/3 - 4th/04_Systemdesign/Billeder/Sekvensdiagrammer_ProcesTaskView/System_HomingAndBrickSortAndCheckForHoming.jpg', '1 - Systemdesign/3 - 4th/04_Systemdesign/Billeder/Sekvensdiagrammer_ProcesTaskView/System_MsgQueue.jpg', '1 - Systemdesign/3 - 4th/04_Systemdesign/Billeder/Sekvensdiagrammer_ProcesTaskView/System_ResetRobot.jpg', '1 - Systemdesign/3 - 4th/04_Systemdesign/Billeder/UseCaseRealiseringer/UC1.jpg', '1 - Systemdesign/3 - 4th/04_Systemdesign/Diagrammer/Database/UML_Database_diagram.png', '1 - Systemdesign/3 - 4th/04_Systemdesign/Diagrammer/DeploymentDiagram.jpg', '1 - Systemdesign/3 - 4th/04_Systemdesign/Diagrammer/Klassediagrammer/Database/DatabaseUML.jpg', '1 - Systemdesign/3 - 4th/04_Systemdesign/Diagrammer/Klassediagrammer/Klassediagrammer/JPGFiler/Allpackages.jpg', '1 - Systemdesign/3 - 4th/04_Systemdesign/Diagrammer/SSD/5_3_2_Use_Case_1_1_Maal_og_vej_klods_realisering_1.jpg', '1 - Systemdesign/3 - 4th/04_Systemdesign/Diagrammer/SSD/5_3_3_Use_Case_1_2_Bestem_materialetype_realisering.jpg', '1 - Systemdesign/3 - 4th/04_Systemdesign/Diagrammer/SSD/UC1 Simple Sequence Diagram.png', '1 - Systemdesign/3 - 4th/04_Systemdesign/Diagrammer/SSD/UC1.1 Simple Sequence Diagram.png', '1 - Systemdesign/3 - 4th/04_Systemdesign/Diagrammer/SSD/UC1.2 Simple Sequence Diagram.png', '1 - Systemdesign/3 - 4th/04_Systemdesign/Diagrammer/Use_Case_Diagram.jpg', '1 - Systemdesign/3 - 4th/04_Systemdesign/Diagrammer/dSSD/Simulering/Simulering-sekvens.jpg', '2 - Kravspec/2 - Samlet kravspec/Use_Cases/Diagrammer/Use_Case_Diagram.jpg', '4 - Rapport/4 semester/Billeder/Use_Case_Diagram.jpg', '4 - Rapport/Billeder/Use_Case_Diagram.jpg', '4 - Rapport/Ikke færdig/Billeder/Domainmodel_Billede.jpg', '7 - Bilag/2 - Diagrammer/1 - Database diagrammer/MySQL_UML_Diagram.jpg', '7 - Bilag/2 - Diagrammer/1 - Database diagrammer/SQLite_UML_Diagram.jpg', '7 - Bilag/2 - Diagrammer/2 - Domænemodeller/Endelig domænemodel.jpg', '7 - Bilag/2 - Diagrammer/3 - Klassediagrammer/Administrator hjemmeside - klassediagram.jpg', '7 - Bilag/2 - Diagrammer/3 - Klassediagrammer/Mobil applikation - Klassediagram.jpg', '7 - Bilag/2 - Diagrammer/3 - Klassediagrammer/Mobil applikation modeller - Klassediagram.jpg', '7 - Bilag/2 - Diagrammer/3 - Klassediagrammer/Simulator - Klassediagram.jpg', '7 - Bilag/2 - Diagrammer/4 - Sekvensdiagrammer/1 - Use Case realiseringer/UC1SSD.jpg', '7 - Bilag/2 - Diagrammer/4 - Sekvensdiagrammer/1 - Use Case realiseringer/UC2SSD.jpg', '7 - Bilag/2 - Diagrammer/4 - Sekvensdiagrammer/1 - Use Case realiseringer/UC3SSD.jpg', '7 - Bilag/2 - Diagrammer/4 - Sekvensdiagrammer/1 - Use Case realiseringer/UC4SSD.jpg', '7 - Bilag/2 - Diagrammer/4 - Sekvensdiagrammer/2 - Simulator/Simulerings start SSD.jpg', '7 - Bilag/2 - Diagrammer/4 - Sekvensdiagrammer/3 - Tasks/ClientServerAsyncCall.jpg', '7 - Bilag/2 - Diagrammer/4 - Sekvensdiagrammer/3 - Tasks/MainTrackABusThreadCom.jpg', '7 - Bilag/2 - Diagrammer/5 - Use Case diagrammer/Use_Case_Diagram.jpg', '7 - Bilag/2 - Diagrammer/Deployment Diagram.jpg']",52,4210616
100Continue/Gulu--web-server-test-tools/,2.0,"['doc/FileHandlerUML.jpg', 'doc/ProcessHandlerUML.jpg', 'doc/RequestUML.jpg', 'doc/ResponseUML.jpg', 'doc/assertUML.jpg', 'doc/authorizationUML.jpg']",6,203441
101companies/101repo/,24.0,"['contributions/argoUML/composition.jpg', 'contributions/argoUML/generalization.jpg', 'contributions/seam/view/img/manytoone.gif', 'contributions/seam/view/img/onetomany.gif', 'contributions/sqliteSingle/doc/schema.svg']",5,11883348
131213web/ProjectTask/,9.0,"['tasks/task04/activity_diagram1.png', 'tasks/task04/activity_diagram2.png', 'tasks/task04/activity_diagram3.png', 'tasks/task04/classDiagram.png', 'tasks/task04/state_diagram.png', 'tasks/task04/use_case.png']",6,157535
1string2boolthem/ProjectHub/,4.0,"['Documentation/Project Diagrams/Sequence Diagrams/Servlet/Create Project Servlet.jpg', 'Documentation/Project Diagrams/Sequence Diagrams/Servlet/Get Individuals Servlet.jpg', 'Documentation/Project Diagrams/Sequence Diagrams/Servlet/Get Resources Servlet.jpg', 'Documentation/Project Diagrams/Sequence Diagrams/Servlet/Get User Projects Servlet.jpg', 'Documentation/Project Diagrams/UML Class Diagrams/Android Diagram.jpg', 'Documentation/Project Diagrams/UML Class Diagrams/Common - Accounts and Projects.jpg', 'Documentation/Project Diagrams/UML Class Diagrams/ProjectHubFramework.jpg', 'Documentation/Project Diagrams/UML Class Diagrams/Servlet Diagram.jpg']",8,84032
211tbc/synthesis/,4.0,"['docs/UML/ClassDiagram.png', 'docs/UML/SequenceDiagram.png', 'docs/UML/UseCaseDiagram.png', 'docs/development_notes/threads_rework_diagram.png', 'docs/occ_synthesis.svg', 'docs/synthesis_overview_diagram.svg', 'docs/tbc_synthesis.svg']",7,1811839
